,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.72,0.75,0.43,0.3,0.83,0.77,0.09,0.99,0.66,0.02,0.97,0.0,0.05
ivef-sdk.csv,0.67,0.17,0.5,0.7,0.62,0.0,0.71,0.0,0.79,0.79,0.07,1.0,0.57
jmri.csv,0.1,0.08,0.33,0.25,0.42,0.0,0.6,0.11,0.16,0.26,0.27,0.33,0.05
jython.csv,0.72,0.67,0.21,0.8,0.75,0.8,0.97,0.15,0.69,0.09,0.85,0.33,0.52
kdenlive.csv,0.28,0.42,0.43,0.9,0.4,0.87,0.4,0.99,0.54,0.56,0.69,0.33,0.43
opentibia.csv,0.31,0.17,0.28,0.4,0.55,0.03,0.8,0.97,0.12,0.09,0.58,0.0,0.95
projectfactory.csv,0.05,0.0,0.37,0.15,0.28,0.33,0.23,1.0,0.42,0.44,0.49,0.17,0.48
runuomondains.csv,0.13,0.08,0.55,0.7,0.43,0.97,0.74,0.16,0.2,0.81,0.17,0.0,0.38
somap.csv,0.92,0.92,0.77,0.85,0.81,1.0,0.8,1.0,1.0,0.79,0.93,0.0,0.95
taverna.csv,0.05,0.17,0.1,0.35,0.19,0.27,0.49,0.03,0.14,0.58,0.05,0.0,0.71
tigermud.csv,0.59,0.75,0.95,0.3,0.43,0.03,0.29,0.08,0.12,0.23,0.31,0.5,0.43
unbvision.csv,0.28,0.17,0.35,0.6,0.4,1.0,0.57,0.24,0.27,0.23,0.63,0.17,0.19
x-ray-mule.csv,0.23,0.0,0.26,0.25,0.58,0.0,0.37,0.0,0.82,0.77,0.02,0.5,0.33
