,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,modplug.csv,enzo.csv,elateportal.csv,sandiaportals.csv,biodwh.csv,factor.csv,miranda.csv
alpine.csv,0.17,0.0,0.54,0.05,0.64,0.81,0.47,0.0,0.61,0.26,0.71,0.0,0.13,0.06,0.0
badtrinity-zero.csv,0.28,0.0,0.66,0.0,0.58,0.09,0.11,0.0,0.62,0.0,0.69,0.24,0.2,0.68,0.62
biodwh.csv,0.37,0.37,0.31,0.58,0.51,0.37,0.21,0.54,0.45,0.51,0.06,0.25,0.77,0.38,0.61
critterding.csv,0.57,0.66,0.44,0.6,0.41,0.34,0.37,0.56,0.69,0.74,0.62,0.62,0.49,0.68,0.45
elateportal.csv,0.54,0.58,0.49,0.59,0.66,0.67,0.43,0.6,0.44,0.21,0.96,0.53,0.52,0.77,0.57
enzo.csv,0.52,0.53,0.09,0.62,0.39,0.46,0.63,0.67,0.4,0.85,0.0,0.23,0.05,0.17,0.6
factor.csv,0.49,0.51,0.21,0.64,0.32,0.46,0.0,0.54,0.18,0.1,0.41,0.75,0.2,0.91,0.59
gusanos.csv,0.18,0.55,0.49,0.6,0.43,0.29,0.21,0.81,0.24,0.0,0.36,0.0,0.54,0.43,0.51
miranda.csv,0.0,0.0,0.48,0.0,0.66,0.57,0.0,0.0,0.4,0.0,0.77,0.0,0.2,0.02,0.73
modplug.csv,0.54,0.66,0.53,0.59,0.65,0.59,0.13,0.63,0.77,0.49,0.69,0.82,0.59,0.77,0.34
monetdb.csv,0.52,0.6,0.38,0.57,0.71,0.67,0.21,0.61,0.54,0.11,0.79,0.37,0.57,0.64,0.48
quarkplayer.csv,0.42,0.18,0.37,0.33,0.05,0.1,0.79,0.11,0.18,0.41,0.0,0.2,0.2,0.48,0.18
reactos-mirror.csv,0.63,0.66,0.58,0.74,0.73,0.61,0.76,0.55,0.68,0.61,0.71,0.0,0.52,0.06,0.0
sandiaportals.csv,0.59,0.61,0.57,0.71,0.69,0.78,0.43,0.67,0.62,0.44,0.13,0.79,0.36,0.76,0.62
xbplayer.csv,0.31,0.48,0.46,0.74,0.56,0.61,0.3,0.53,0.54,0.05,0.46,0.45,0.58,0.31,0.62
