,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.17,0.18,0.11,0.26,0.88,0.3,0.38,0.41,0.5,0.25
autoopencas.csv,0.48,0.41,0.2,0.32,0.54,0.27,0.67,0.23,0.12,0.31
gogoego.csv,0.65,0.47,0.45,0.41,0.69,0.2,0.0,0.63,0.48,0.41
jam-daq.csv,0.44,0.31,0.4,0.35,0.18,0.32,0.05,0.33,0.71,0.36
jhotdraw.csv,0.7,0.27,0.37,0.28,0.69,0.51,0.47,0.45,0.34,0.27
pokeglobal.csv,0.78,0.64,0.4,0.38,0.67,0.31,0.43,0.4,0.62,0.37
robocode.csv,0.76,0.67,0.43,0.46,0.29,0.33,0.35,0.37,0.63,0.46
springside.csv,0.65,0.14,0.36,0.36,0.21,0.33,0.46,0.68,0.35,0.36
trinitycore.csv,0.09,0.27,0.23,0.47,0.0,0.17,0.36,0.25,0.37,0.47
uwom-server.csv,0.32,0.36,0.22,0.44,0.0,0.24,0.3,0.26,0.51,0.41
