,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.1,0.13,0.06,0.48,0.85,0.66,0.59,0.37,0.47,0.44
autoopencas.csv,0.49,0.43,0.22,0.52,0.61,0.35,0.8,0.29,0.07,0.55
gogoego.csv,0.59,0.35,0.54,0.46,0.88,0.45,0.0,0.9,0.42,0.47
jam-daq.csv,0.32,0.22,0.35,0.32,0.12,0.52,0.05,0.22,0.73,0.33
jhotdraw.csv,0.9,0.22,0.87,0.43,0.97,0.58,0.84,0.82,0.27,0.42
pokeglobal.csv,0.76,0.83,0.6,0.84,0.82,0.95,0.89,0.57,0.8,0.82
robocode.csv,0.95,0.7,0.84,0.64,0.27,0.63,0.5,0.53,0.93,0.65
springside.csv,0.54,0.09,0.71,0.52,0.15,0.76,0.77,0.82,0.24,0.53
trinitycore.csv,0.05,0.26,0.24,0.61,0.0,0.21,0.43,0.2,0.31,0.67
uwom-server.csv,0.24,0.35,0.2,0.61,0.0,0.24,0.34,0.2,0.44,0.53
