,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.7,0.49,0.68,0.66,0.58,0.52,0.91,0.48,0.54,0.72
fritzing.csv,0.57,0.4,0.38,0.53,0.44,0.53,0.8,0.73,0.55,0.6
jlinalg.csv,0.23,0.72,0.9,0.71,0.44,0.53,0.85,0.87,0.61,0.73
knowledge.csv,0.26,0.66,0.64,0.87,0.16,0.68,0.83,0.77,0.58,0.76
massiv.csv,0.86,0.7,0.67,1.0,1.0,0.03,1.0,0.48,1.0,1.0
multitude.csv,0.87,0.56,0.73,0.83,0.44,0.71,0.72,0.61,0.81,0.4
playerstage.csv,0.52,0.56,0.58,0.35,0.45,0.6,0.9,0.43,0.64,0.63
quarkplusplus.csv,0.59,0.62,0.77,0.58,0.35,0.32,0.9,0.85,0.47,0.57
rtrt-on-gpu.csv,0.8,0.91,0.85,0.9,0.95,1.08,0.35,1.01,1.0,0.84
superwaba.csv,0.64,0.34,0.5,0.5,0.44,0.62,0.91,0.66,0.56,0.6
