,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.2,1.0,0.53,0.53,0.58,0.36,0.6,0.82,1.0,0.16,0.7,0.08,0.17
badtrinity-zero.csv,0.36,0.33,0.99,0.65,0.52,0.41,0.32,0.91,0.32,0.14,0.82,0.1,0.12
betoffice.csv,0.26,0.29,0.5,0.55,0.98,0.17,0.19,0.75,0.48,0.06,0.78,0.08,0.12
exordium.csv,1.0,0.0,0.58,0.84,0.38,0.39,1.0,0.85,0.31,0.2,0.89,0.2,0.11
fltk.csv,0.62,0.23,0.67,0.96,0.48,0.44,0.37,0.9,0.21,0.13,0.82,0.13,0.15
gabel.csv,0.0,0.0,1.0,1.0,0.0,0.48,0.0,1.0,0.34,1.0,0.92,0.5,0.33
genoviz.csv,1.0,1.0,1.0,0.93,0.33,0.88,0.5,0.93,0.67,0.14,0.7,0.57,1.0
irrlicht.csv,0.36,0.29,0.55,0.56,0.5,0.4,0.26,0.83,0.29,0.1,0.99,0.09,0.16
nug.csv,1.0,0.28,0.46,0.72,0.47,0.24,0.41,0.8,0.32,0.12,0.83,0.09,0.08
rezilla.csv,0.3,0.95,0.53,0.61,0.45,0.29,0.28,0.85,0.27,0.08,0.81,0.07,0.1
toped.csv,0.27,0.31,0.5,0.58,0.33,0.4,0.27,1.0,0.22,0.19,0.77,0.09,0.0
xmemcached.csv,0.4,0.37,0.44,0.64,0.48,1.0,0.32,0.85,0.33,0.14,0.75,0.1,0.19
zoolib.csv,0.0,0.0,0.42,0.88,0.33,0.5,0.42,0.89,0.25,0.0,0.69,0.89,1.0
