,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.53,0.56,0.85,0.88,0.67,0.77,0.78,0.93,0.94,0.74,1.0,0.81
blue-c.csv,0.73,0.56,0.59,0.25,0.73,0.8,0.84,0.9,0.69,0.52,0.62,0.61
cities3d.csv,0.73,0.87,0.31,0.12,0.13,0.03,0.95,0.0,0.44,0.12,0.71,0.44
dynalloy.csv,0.6,0.96,0.4,0.38,0.62,0.66,0.62,0.27,0.56,0.31,0.24,0.44
firebird.csv,0.23,0.44,0.99,0.38,0.65,0.74,0.35,0.4,0.25,0.43,0.14,0.36
hydrogen.csv,0.53,0.13,0.54,0.5,0.14,0.26,0.59,0.17,0.94,0.07,0.24,0.39
nosleepsoftware.csv,0.5,0.13,0.55,1.0,0.16,0.31,0.65,0.3,0.5,0.14,0.43,0.42
openmalaria.csv,0.8,0.79,0.62,0.62,0.56,0.54,0.78,0.67,0.69,0.93,0.67,0.61
popeye-chess.csv,0.7,0.52,0.59,0.56,0.29,0.89,0.84,0.53,0.62,0.62,0.62,0.58
qgo.csv,0.97,0.33,0.44,0.44,0.17,0.34,0.68,0.27,0.69,0.19,0.38,0.39
xmoto.csv,0.53,0.23,0.49,0.19,0.4,0.57,0.62,0.37,0.75,0.14,0.48,0.97
yield.csv,0.73,0.73,0.6,0.56,0.97,0.6,0.89,0.63,0.94,0.76,0.57,0.56
