,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,13.0,2.0,0.0,1.0,9.0,11.0,51.0,2.0,3.0,2.0,0.0,1.0
blue-c.csv,3.0,6.0,0.0,15.0,2.0,2.0,17.0,0.0,1.0,4.0,0.0,1.0
cities3d.csv,14.0,2.0,0.0,2.0,3.0,3.0,0.0,54.0,6.0,9.0,1.0,1.0
dynalloy.csv,1.0,0.0,0.0,7.0,0.0,1.0,8.0,0.0,24.0,6.0,0.0,0.0
firebird.csv,4.0,1.0,0.0,14.0,0.0,6.0,22.0,1.0,14.0,1.0,1.0,0.0
hydrogen.csv,3.0,5.0,5.0,7.0,0.0,0.0,13.0,1.0,0.0,0.0,8.0,1.0
nosleepsoftware.csv,5.0,5.0,4.0,0.0,4.0,2.0,27.0,1.0,1.0,3.0,0.0,3.0
openmalaria.csv,1.0,0.0,1.0,4.0,4.0,1.0,8.0,0.0,6.0,0.0,0.0,4.0
popeye-chess.csv,1.0,0.0,0.0,1.0,4.0,0.0,36.0,4.0,21.0,1.0,0.0,0.0
qgo.csv,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,19.0,0.0,8.0,2.0
xmoto.csv,4.0,6.0,1.0,7.0,0.0,1.0,12.0,1.0,4.0,2.0,0.0,0.0
yield.csv,2.0,0.0,0.0,11.0,0.0,0.0,24.0,0.0,2.0,9.0,1.0,1.0
