,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.61,0.68,0.44,0.5,0.59,0.65,0.42,0.46,0.58,0.51,0.62,0.5
blue-c.csv,0.42,0.53,0.44,0.65,0.49,0.48,0.42,0.48,0.57,0.55,0.46,0.47
cities3d.csv,0.4,0.47,0.78,0.75,0.94,0.83,0.97,0.0,0.81,0.94,0.43,0.68
dynalloy.csv,0.42,0.72,0.6,0.6,0.49,0.47,0.67,0.7,0.62,0.77,0.88,0.62
firebird.csv,0.93,0.65,0.5,0.56,0.5,0.65,0.88,0.56,0.69,0.74,0.91,0.82
hydrogen.csv,0.5,0.62,0.5,0.69,0.91,0.6,0.67,0.83,0.8,0.75,0.42,0.59
nosleepsoftware.csv,0.46,0.63,0.41,0.75,0.93,0.67,0.61,0.86,0.69,0.91,0.38,0.55
openmalaria.csv,0.34,0.38,0.38,0.34,0.49,0.41,0.34,0.38,0.47,0.51,0.29,0.38
popeye-chess.csv,0.33,0.41,0.38,0.45,0.74,0.52,0.39,0.4,0.56,0.53,0.3,0.42
qgo.csv,0.43,0.59,0.45,0.78,0.92,0.46,0.59,0.62,0.49,0.9,0.37,0.53
xmoto.csv,0.55,0.63,0.45,0.91,0.68,0.44,0.62,0.64,0.55,0.92,0.45,0.53
yield.csv,0.36,0.42,0.37,0.39,0.52,0.44,0.33,0.41,0.57,0.47,0.29,0.46
