,recall,precision,pf,wins
abbot.csv,0.82,0.425,0.7,186
acdk.csv,0.44,0.52,0.24,595
acegisecurity.csv,0.635,0.44,0.48,368
adaptagrams.csv,0.39,0.5,0.22,583
adonthell.csv,0.52,0.39,0.48,232
agilitybook.csv,0.425,0.4,0.39,282
aime.csv,0.305,0.345,0.28,290
alembik.csv,0.27,0.56,0.13,609
algebsql.csv,0.38,0.335,0.51,88
all-plasm.csv,0.33,0.42,0.29,393
alleg.csv,0.5,0.4,0.42,293
alpine.csv,0.73,0.41,0.605,225
alsa.csv,0.67,0.45,0.5,375
amanda.csv,0.55,0.45,0.41,410
amateur-scrolls.csv,0.2,0.345,0.15,411
ambulant.csv,0.65,0.4,0.64,134
amygdala.csv,0.4,0.41,0.37,307
anaxagora.csv,0.62,0.43,0.48,339
apertium.csv,0.33,0.4,0.29,374
apolloplayer.csv,0.57,0.42,0.435,360
applet2app.csv,0.575,0.5,0.35,546
arcallians.csv,0.67,0.445,0.51,353
archive-crawler.csv,0.43,0.42,0.365,360
arianne.csv,0.95,0.38,0.93,28
arm-webradio.csv,0.41,0.41,0.37,313
array4j.csv,0.58,0.36,0.62,93
arsenal-1.csv,0.25,0.48,0.17,548
atlc.csv,0.69,0.39,0.68,107
atomsite.csv,0.72,0.42,0.65,181
atunes.csv,0.6,0.43,0.47,337
aubit4gl.csv,0.14,0.39,0.13,445
aufs.csv,0.27,0.33,0.25,291
autat.csv,0.29,0.48,0.18,560
autofac.csv,0.58,0.45,0.44,391
autoopencas.csv,0.3,0.28,0.45,69
autowikibrowser.csv,0.67,0.46,0.48,407
avifile.csv,0.45,0.36,0.5,147
avisynth2.csv,0.03,0.29,0.02,413
awemud.csv,0.57,0.46,0.39,463
aztec.csv,0.365,0.5,0.21,582
azureus.csv,0.855,0.4,0.805,83
baadengine.csv,0.89,0.415,0.77,136
bacnet.csv,0.46,0.45,0.33,458
bacula.csv,0.73,0.42,0.6,242
badtrinity-zero.csv,0.45,0.44,0.33,440
badtrinitycore.csv,0.35,0.44,0.26,470
barracudamvc.csv,0.93,0.36,0.97,1
bdbbasic.csv,0.46,0.41,0.36,377
beast-mcmc.csv,0.74,0.46,0.58,308
benojt.csv,1.0,0.38,1.0,6
betoffice.csv,0.71,0.33,0.83,3
bibedt.csv,0.54,0.45,0.39,430
bibletime.csv,0.7,0.43,0.54,304
bigdata.csv,0.44,0.41,0.38,324
biodwh.csv,0.31,0.515,0.16,599
biopax.csv,1.0,0.38,1.0,6
bl-toolkit.csv,0.7,0.38,0.71,84
blogentis.csv,0.52,0.37,0.64,61
bloodycore.csv,0.2,0.4,0.18,430
blue-c.csv,0.76,0.43,0.64,222
bnetd.csv,0.77,0.395,0.7,132
bochs.csv,0.715,0.39,0.62,185
boost-sandbox.csv,0.56,0.37,0.56,149
boost.csv,0.61,0.46,0.44,425
botsnscouts.csv,0.62,0.475,0.42,475
brlcad.csv,0.29,0.47,0.18,551
bscwweasel.csv,0.27,0.47,0.17,551
buddata-ebxml-registry.csv,0.97,0.385,0.94,29
bullet.csv,0.61,0.39,0.57,182
bulmages.csv,0.17,0.33,0.12,415
bwapi.csv,0.96,0.37,0.96,14
bzbyte.csv,0.225,0.11,0.185,156
calcubetimer.csv,0.73,0.39,0.655,158
capcode.csv,0.58,0.38,0.59,133
carabiner.csv,0.695,0.44,0.53,327
cascading.csv,0.69,0.43,0.52,326
chaosrts.csv,0.53,0.415,0.43,321
chaperon.csv,0.41,0.36,0.44,192
checker-framework.csv,0.86,0.39,0.81,73
chipster.csv,0.14500000000000002,0.38,0.12,455
chrysalis.csv,0.48,0.495,0.29,556
cities3d.csv,0.275,0.38,0.21,421
clamav.csv,0.74,0.415,0.6,246
cleartk.csv,0.73,0.4,0.65,171
cme.csv,0.0,0.0,0.0,144
co-ode-owl-plugins.csv,0.5,0.41,0.47,251
codeblocks.csv,0.63,0.46,0.42,463
codepurge.csv,0.53,0.45,0.41,399
codesmith.csv,0.64,0.38,0.65,104
columba.csv,0.64,0.45,0.45,416
continuum-ide.csv,0.17,0.4,0.16,438
coot.csv,0.505,0.35,0.48,191
cornerstone.csv,0.27,0.53,0.12,606
cortex-vfx.csv,0.39,0.52,0.23,587
crisscross.csv,0.93,0.38,0.9,37
critterding.csv,0.88,0.385,0.85,56
crux-framework.csv,0.265,0.41,0.23,418
ctrlr.csv,0.23,0.29,0.335,146
cubefs.csv,0.54,0.39,0.5,216
cuberok.csv,0.56,0.43,0.46,316
customsagetv.csv,0.15,0.5,0.09,590
customwars.csv,0.52,0.49,0.33,534
decidr.csv,0.86,0.39,0.81,73
delphilhlplib.csv,0.67,0.43,0.52,309
doomlegacy.csv,0.73,0.45,0.59,273
dspace-gsoc.csv,0.71,0.45,0.55,318
dsworkbench.csv,0.07500000000000001,0.33,0.07,421
