,rsyslog.csv,acegisecurity.csv,openxava.csv,vars-redux.csv,wow-qrsk.csv,ppcboot.csv,gnupdate.csv,repositorium.csv,ultimairis.csv,xqilla.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.52,0.76,0.49,0.47,0.52,0.58,0.47,0.8,0.94,0.5,0.58,0.48,0.68,0.47
biopax.csv,0.54,0.34,0.48,0.35,0.41,0.57,0.46,0.39,0.38,0.4,0.42,0.47,0.36,0.49
gnupdate.csv,0.68,0.58,0.55,0.43,0.46,0.7,0.95,0.9,0.46,0.94,0.61,0.57,0.59,0.54
les-indemodables.csv,0.57,0.67,0.47,0.43,0.55,0.67,0.62,0.6,0.58,0.45,0.48,0.61,0.49,0.64
openxava.csv,0.61,0.46,0.94,0.53,0.48,0.56,0.52,0.42,0.48,0.44,0.56,0.52,0.68,0.61
ppcboot.csv,0.71,0.51,0.53,0.5,0.62,0.76,0.8,0.92,0.95,0.83,0.74,0.53,0.38,0.6
repositorium.csv,0.72,0.37,0.51,0.72,0.67,0.71,0.56,0.88,0.95,0.42,0.82,0.96,0.4,0.58
rsyslog.csv,0.56,0.48,0.7,0.42,0.5,0.44,0.66,0.61,0.61,0.42,0.58,0.52,0.38,0.69
simplewebservices.csv,0.55,0.49,0.64,0.41,0.56,0.52,0.51,0.71,0.71,0.79,0.79,0.49,0.56,0.67
ultimairis.csv,0.57,0.42,0.68,0.38,0.48,0.57,0.52,0.44,0.87,0.4,0.49,0.59,0.4,0.49
vars-redux.csv,0.78,0.65,0.37,0.51,0.68,0.86,0.95,0.88,0.93,0.97,0.9,0.51,0.48,0.57
wow-qrsk.csv,0.64,0.39,0.51,0.57,0.83,0.64,0.66,0.88,0.95,0.48,0.92,0.83,0.47,0.63
wxstudio.csv,0.74,0.96,0.68,0.96,0.6,0.64,0.78,0.66,0.8,0.91,0.57,0.94,0.95,0.81
xqilla.csv,0.0,0.5,0.0,0.0,0.95,0.0,0.0,0.5,0.5,0.67,0.0,0.0,0.5,0.0
