,rsyslog.csv,acegisecurity.csv,openxava.csv,vars-redux.csv,wow-qrsk.csv,ppcboot.csv,gnupdate.csv,repositorium.csv,ultimairis.csv,xqilla.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,4.0,0.0,32.0,5.0,61.0,0.0,2.0,2.0,0.0,68.0,0.0,0.0,0.0,1.0
biopax.csv,1.0,2.0,32.0,1.0,11.0,0.0,0.0,28.0,0.0,40.0,0.0,0.0,0.0,0.0
gnupdate.csv,5.0,2.0,72.0,3.0,74.0,0.0,0.0,2.0,0.0,13.0,0.0,4.0,0.0,1.0
les-indemodables.csv,0.0,5.0,22.0,1.0,1.0,0.0,2.0,5.0,0.0,18.0,2.0,0.0,0.0,0.0
openxava.csv,10.0,0.0,0.0,2.0,63.0,0.0,2.0,2.0,1.0,48.0,0.0,11.0,2.0,1.0
ppcboot.csv,4.0,7.0,96.0,0.0,4.0,0.0,2.0,3.0,0.0,119.0,12.0,0.0,0.0,0.0
repositorium.csv,3.0,7.0,10.0,0.0,23.0,0.0,0.0,0.0,0.0,59.0,0.0,1.0,2.0,0.0
rsyslog.csv,1.0,5.0,29.0,1.0,2.0,0.0,1.0,5.0,1.0,15.0,5.0,2.0,0.0,0.0
simplewebservices.csv,4.0,7.0,31.0,2.0,17.0,0.0,7.0,19.0,0.0,35.0,0.0,0.0,0.0,0.0
ultimairis.csv,7.0,7.0,4.0,2.0,53.0,0.0,2.0,2.0,0.0,59.0,0.0,0.0,0.0,0.0
vars-redux.csv,0.0,2.0,3.0,0.0,1.0,1.0,5.0,6.0,0.0,119.0,0.0,1.0,1.0,0.0
wow-qrsk.csv,0.0,2.0,15.0,1.0,0.0,0.0,7.0,1.0,2.0,23.0,7.0,0.0,0.0,1.0
wxstudio.csv,9.0,3.0,0.0,6.0,28.0,3.0,1.0,2.0,3.0,119.0,0.0,4.0,3.0,1.0
xqilla.csv,49.0,143.0,147.0,115.0,19.0,236.0,105.0,96.0,1.0,0.0,85.0,101.0,240.0,90.0
