,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.35,0.79,0.34,0.83
k3b.csv,0.22,0.83,0.36,0.66
mp-rechnungs-und-kundenverwaltung.csv,0.33,0.94,0.41,0.81
thrust.csv,0.5,0.82,0.24,0.75
