,owfs.csv,utgb.csv,chipster.csv,sidekar.csv,jgnash.csv,jsr308-langtools.csv,continuum-ide.csv,azureus.csv,ctrlr.csv,jppf-project.csv,stemkit.csv,galaxium.csv,ingex.csv,itext.csv,octet.csv,lite.csv,bzbyte.csv,carabiner.csv,tigermud.csv,ta3d.csv
azureus.csv,0.75,0.03,0.11,0.16,0.17,0.05,0.44,0.0,0.05,0.12,0.12,0.21,0.04,0.23,0.16,0.2,0.17,0.04,0.24,0.06
bzbyte.csv,1.0,0.71,0.69,0.74,0.73,0.65,0.97,0.78,0.97,0.75,1.0,0.87,0.98,0.83,0.9,0.85,0.0,0.8,0.57,1.0
carabiner.csv,0.38,0.19,0.26,0.24,0.21,0.45,0.31,0.26,0.37,0.5,0.14,0.23,0.36,0.53,0.33,0.29,0.11,0.0,0.24,0.25
chipster.csv,0.63,0.19,0.0,0.24,0.41,0.2,0.36,0.34,0.37,0.25,0.33,0.24,0.36,0.1,0.25,0.2,0.17,0.2,0.43,0.38
continuum-ide.csv,0.62,0.03,0.06,0.03,0.03,0.05,0.0,0.02,0.03,0.12,0.01,0.06,0.06,0.2,0.04,0.05,0.0,0.02,0.05,0.0
ctrlr.csv,0.25,0.06,0.07,0.11,0.03,0.2,0.05,0.08,0.0,0.25,0.1,0.14,0.04,0.07,0.02,0.27,0.11,0.16,0.05,0.12
galaxium.csv,0.4,0.1,0.18,0.16,0.15,0.5,0.36,0.15,0.0,0.12,0.03,0.01,0.04,0.07,0.12,0.2,0.11,0.02,0.19,0.06
ingex.csv,0.67,0.1,0.19,0.24,0.12,0.2,0.21,0.39,0.59,0.12,0.19,0.26,0.0,0.3,0.02,0.2,0.11,0.31,0.76,0.19
itext.csv,0.52,0.29,0.19,0.08,0.17,0.25,0.46,0.22,0.17,0.25,0.24,0.21,0.32,0.0,0.18,0.22,0.22,0.08,0.24,0.19
jgnash.csv,0.67,0.13,0.15,0.16,0.0,0.1,0.21,0.15,0.24,0.5,0.07,0.21,0.12,0.53,0.1,0.12,0.22,0.06,0.14,0.56
jppf-project.csv,1.0,0.94,0.84,0.89,0.9,1.0,0.97,0.86,0.86,0.0,1.0,0.87,1.0,1.0,0.92,0.88,0.56,0.98,1.0,1.0
jsr308-langtools.csv,0.71,0.48,0.46,0.37,0.41,0.0,0.59,0.37,0.27,0.5,0.33,0.41,0.6,0.37,0.31,0.54,0.44,0.24,0.48,0.44
lite.csv,0.38,0.0,0.01,0.0,0.01,0.0,0.08,0.04,0.1,0.0,0.01,0.13,0.02,0.1,0.02,0.0,0.11,0.0,0.19,0.06
octet.csv,1.0,0.45,0.59,0.39,0.65,0.9,0.92,0.98,0.68,0.88,0.22,0.54,0.34,0.97,0.0,0.54,0.5,0.45,0.76,0.25
owfs.csv,0.0,0.13,0.17,0.03,0.06,0.05,0.33,0.11,0.05,0.0,0.07,0.06,0.12,0.03,0.06,0.22,0.17,0.02,0.1,0.0
sidekar.csv,0.21,0.68,0.59,0.03,0.56,0.3,0.74,0.45,0.36,0.5,0.22,0.43,0.52,0.33,0.35,0.41,0.44,0.29,0.29,0.5
stemkit.csv,0.13,0.03,0.08,0.08,0.09,0.25,0.1,0.05,0.46,0.12,0.0,0.13,0.18,0.0,0.02,0.02,0.06,0.04,0.33,0.25
ta3d.csv,0.27,0.65,0.58,0.58,0.59,0.55,0.33,0.68,0.68,0.88,0.56,0.47,0.76,0.53,0.9,0.44,0.67,0.65,0.52,0.0
tigermud.csv,0.12,0.74,0.62,0.47,0.59,0.55,0.72,0.75,0.68,0.88,0.83,0.72,0.76,0.63,0.65,0.73,0.78,0.39,0.05,0.62
utgb.csv,0.5,0.0,0.5,0.21,0.4,0.05,0.33,0.21,0.27,0.25,0.33,0.17,0.22,0.13,0.27,0.46,0.61,0.2,0.43,0.5
