,google-collections.csv,dsworkbench.csv,autofac.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,exist.csv,octet.csv,jchassis.csv,ambulant.csv,coot.csv,emono.csv,thedata.csv
ambulant.csv,0.91,0.74,0.45,0.89,0.79,0.46,0.51,0.88,0.83,0.69,0.63,0.79,0.58
autofac.csv,0.43,0.37,0.52,0.54,0.48,0.39,0.38,0.49,0.63,0.39,0.38,0.45,0.41
coot.csv,0.36,0.71,0.58,0.57,0.53,0.78,0.67,0.43,0.68,0.71,0.54,0.91,0.83
dsworkbench.csv,0.36,0.41,0.4,0.6,0.49,0.49,0.55,0.47,0.62,0.9,0.37,0.51,0.57
emono.csv,0.65,0.54,0.89,0.64,0.55,0.84,0.57,0.6,0.64,0.53,0.55,0.53,0.5
exist.csv,0.83,0.8,0.75,0.62,0.58,0.43,0.44,0.42,0.67,0.57,0.58,0.6,0.65
freelords.csv,0.45,0.44,0.42,0.42,0.47,0.41,0.49,0.44,0.54,0.49,0.5,0.51,0.8
google-collections.csv,0.39,0.36,0.32,0.38,0.45,0.4,0.34,0.45,0.49,0.43,0.45,0.43,0.36
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
jpaul.csv,0.46,0.61,0.86,0.86,0.62,0.69,0.87,0.89,0.0,0.86,0.59,0.88,0.47
neodatis-odb.csv,0.95,0.5,0.59,0.76,0.89,0.77,0.68,0.78,0.72,0.87,0.76,0.95,0.89
octet.csv,0.95,0.89,0.85,0.93,0.88,0.94,0.97,0.75,0.86,0.9,0.95,0.96,0.89
thedata.csv,0.91,0.83,0.93,0.61,0.88,0.79,0.92,0.72,0.91,0.67,0.0,0.67,0.75
