,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.97,0.86,0.71,0.9,0.83,0.74,0.87,0.39,0.6,0.94,1.04,0.84,0.57
bscwweasel.csv,0.98,0.86,0.69,0.4,0.6,0.8,0.57,1.0,0.64,0.94,0.85,0.89,0.92
capcode.csv,0.98,0.83,0.82,0.79,0.67,0.95,0.32,0.83,0.74,1.01,0.79,0.79,0.66
emite.csv,0.66,0.78,0.61,0.79,0.65,0.69,0.95,0.92,0.88,0.94,0.67,0.46,0.89
extprosys.csv,1.0,0.93,0.86,0.81,0.73,0.46,0.87,0.92,0.79,0.93,0.93,0.62,0.71
lamp.csv,0.96,0.49,0.81,0.84,0.98,0.87,0.83,1.0,0.58,0.98,0.63,0.79,1.0
retromenu.csv,0.95,0.72,0.73,0.71,0.36,0.62,0.95,0.77,0.84,0.85,0.67,0.72,0.71
smbopensoft.csv,0.27,0.98,0.94,0.81,0.99,0.74,0.8,0.84,0.83,1.02,0.96,0.78,0.82
snakeyaml.csv,0.42,0.63,0.58,0.71,0.52,0.58,0.87,0.53,0.75,0.88,0.35,0.91,0.65
stuproa-cims.csv,1.0,0.86,0.63,0.59,0.59,1.0,0.75,0.61,0.43,1.0,0.74,0.79,1.0
ta3d.csv,1.0,0.86,0.7,0.66,0.57,1.0,0.73,1.0,0.8,0.76,0.86,0.69,0.59
thout.csv,0.69,0.99,0.45,0.67,0.91,0.98,0.99,0.99,0.97,0.98,0.87,1.0,0.79
vrjuggler.csv,0.88,0.94,1.0,0.82,0.87,0.98,1.03,1.0,0.9,0.45,0.82,0.84,0.83
