,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.05,0.17,0.44,0.38,0.39,0.36,0.4,0.7,0.6,0.07,0.17,0.47,0.48
bscwweasel.csv,0.02,0.17,0.38,0.68,0.51,0.25,0.53,0.0,0.51,0.07,0.18,0.16,0.11
capcode.csv,0.02,0.49,0.5,0.55,0.42,0.07,0.81,0.33,0.31,0.0,0.55,0.45,0.49
emite.csv,0.67,0.33,0.49,0.29,0.42,0.38,0.1,0.1,0.16,0.07,0.41,0.66,0.17
extprosys.csv,0.0,0.27,0.44,0.53,0.65,0.65,0.43,0.1,0.54,0.27,0.27,0.57,0.43
lamp.csv,0.17,0.6,0.51,0.48,0.09,0.42,0.48,0.0,0.67,0.09,0.61,0.38,0.0
retromenu.csv,0.06,0.4,0.31,0.35,0.72,0.47,0.1,0.59,0.21,0.28,0.38,0.34,0.54
smbopensoft.csv,0.81,0.13,0.26,0.46,0.33,0.48,0.29,0.22,0.28,0.0,0.17,0.54,0.5
snakeyaml.csv,0.64,0.6,0.52,0.39,0.72,0.52,0.2,0.59,0.38,0.15,0.72,0.12,0.52
stuproa-cims.csv,0.0,0.17,0.45,0.49,0.69,0.0,0.29,0.66,0.66,0.0,0.3,0.27,0.0
ta3d.csv,0.0,0.17,0.58,0.4,0.71,0.0,0.37,0.0,0.24,0.55,0.18,0.47,0.64
thout.csv,0.6,0.09,0.62,0.44,0.42,0.09,0.05,0.05,0.13,0.09,0.43,0.0,0.53
vrjuggler.csv,0.15,0.09,0.0,0.29,0.17,0.02,0.1,0.0,0.13,0.69,0.23,0.27,0.2
