,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.04,0.14,0.41,0.75,0.38,0.32,0.42,0.68,0.62,0.06,0.15,0.61,0.43
bscwweasel.csv,0.02,0.14,0.34,0.65,0.48,0.21,0.5,0.0,0.49,0.06,0.15,0.13,0.09
capcode.csv,0.02,0.93,0.86,0.85,0.38,0.06,0.83,0.3,0.27,0.0,0.85,0.45,0.46
emite.csv,0.85,0.29,0.45,0.25,0.38,0.34,0.08,0.08,0.13,0.06,0.37,0.65,0.14
extprosys.csv,1.0,0.93,0.93,0.9,1.0,0.64,1.0,0.08,0.71,1.0,0.96,0.58,0.4
lamp.csv,0.97,0.57,0.68,0.7,0.9,0.98,0.83,1.0,0.75,1.0,0.67,0.35,1.0
retromenu.csv,0.05,0.36,0.27,0.3,0.71,0.43,0.08,0.92,0.18,0.25,0.33,0.29,0.57
smbopensoft.csv,0.81,0.86,0.84,0.5,0.38,0.49,0.25,0.19,0.24,0.0,0.89,0.77,0.66
snakeyaml.csv,0.6,0.64,0.48,0.35,0.81,0.49,0.17,0.57,0.35,0.12,0.7,0.1,0.51
stuproa-cims.csv,0.0,0.14,0.41,0.45,0.81,0.0,0.25,0.76,0.64,0.0,0.26,0.23,0.0
ta3d.csv,0.0,0.14,0.68,0.35,0.81,0.0,0.33,0.0,0.2,0.69,0.15,0.45,0.69
thout.csv,0.71,0.93,0.59,0.4,0.57,0.98,1.0,1.0,0.89,1.0,1.0,0.94,0.74
vrjuggler.csv,0.12,0.07,0.0,0.25,0.14,0.02,0.08,0.0,0.11,0.69,0.19,0.23,0.17
