,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.44,0.64,0.57,0.96,0.78,0.57,0.88,0.27,0.95,0.38
flylegacy.csv,0.72,0.48,1.0,0.6,0.78,0.13,0.72,0.41,0.11,0.21
ftm.csv,0.32,0.03,0.38,0.4,0.48,0.24,0.16,0.32,0.97,0.44
jcache.csv,0.2,0.36,0.33,0.39,0.34,0.2,0.28,0.41,0.26,1.0
lphant.csv,0.6,0.55,0.67,0.63,0.83,0.76,0.96,0.95,0.92,0.74
minig.csv,0.92,0.73,0.6,0.86,0.81,0.98,0.76,0.77,0.26,0.62
mob-sen-plat.csv,0.56,1.0,0.21,0.19,0.28,0.54,0.4,0.27,0.48,0.29
raygina.csv,0.92,0.03,0.56,0.41,0.3,0.2,0.28,0.45,0.49,0.18
upp-mirror.csv,0.56,0.12,0.56,0.29,0.98,0.24,0.36,0.23,0.07,0.03
yarp.csv,0.24,0.36,0.41,0.24,0.09,0.26,1.0,0.0,0.21,0.29
