,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.82,0.79,0.66,0.04,0.79,0.9,0.72,0.77,0.96,1.01
flylegacy.csv,0.75,0.79,0.0,0.59,0.6,0.88,0.72,0.68,0.89,0.8
ftm.csv,0.7,0.97,0.68,0.64,0.57,0.79,0.85,0.72,0.03,0.63
jcache.csv,0.83,0.7,0.81,0.68,0.75,0.81,0.75,0.87,0.79,0.02
lphant.csv,0.61,0.54,0.6,0.67,0.61,0.74,0.95,0.05,0.88,0.87
minig.csv,0.75,0.89,0.79,0.79,0.83,0.03,0.9,0.54,0.77,0.42
mob-sen-plat.csv,0.79,0.05,0.91,0.85,0.84,0.68,0.67,0.8,0.7,0.71
raygina.csv,0.08,0.98,0.6,0.65,0.74,0.81,0.75,0.61,0.61,0.82
upp-mirror.csv,0.56,0.88,0.6,0.75,0.03,0.76,0.71,0.78,0.93,0.97
yarp.csv,0.77,0.64,0.72,0.78,0.93,0.79,0.0,1.0,0.8,0.97
