,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.3,0.6,0.77,1.0,0.62,0.3,0.45,0.43,0.46,0.28
flylegacy.csv,0.38,0.57,1.0,0.2,0.68,0.4,0.42,0.45,0.44,0.7
ftm.csv,0.53,1.0,0.8,0.24,0.76,0.39,0.5,0.47,1.0,0.56
jcache.csv,0.33,0.67,0.68,0.19,0.59,0.53,0.47,0.3,0.43,0.97
lphant.csv,0.43,0.75,0.79,0.17,0.69,0.39,0.4,1.0,0.47,0.42
minig.csv,0.42,0.59,0.72,0.17,0.61,0.98,0.37,0.52,0.52,0.75
mob-sen-plat.csv,0.33,0.97,0.57,0.12,0.5,0.38,0.48,0.35,0.47,0.71
raygina.csv,1.0,0.25,0.8,0.21,0.66,0.56,0.47,0.53,0.56,0.86
upp-mirror.csv,0.48,0.8,0.8,0.19,0.98,0.65,0.43,0.56,0.67,0.5
yarp.csv,0.55,0.92,0.74,0.2,0.4,0.34,1.0,0.0,0.59,0.27
