,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.06,0.36,0.14,0.8,0.66,0.65,0.59,0.0,0.62,0.3
haphazard.csv,0.22,0.1,0.14,0.16,0.13,0.23,0.11,0.06,0.0,0.1
jicarilla.csv,0.02,0.24,0.03,0.13,0.15,0.26,0.11,0.28,0.19,0.09
ondex.csv,0.52,0.06,0.14,0.41,0.34,0.19,0.0,0.44,0.37,0.0
optalgtoolkit.csv,0.98,0.85,0.38,0.79,0.74,0.0,0.74,0.78,0.4,0.79
ossim.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
projectts.csv,0.15,0.69,0.46,0.52,0.72,0.45,0.0,0.72,0.42,0.47
sabbu.csv,0.02,0.49,0.27,0.46,0.69,0.58,0.44,0.39,0.71,0.75
vxl.csv,0.61,0.0,0.32,0.26,0.16,0.03,0.41,0.39,0.15,0.09
zact.csv,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.11,0.04,0.01
