,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.8,0.83,0.88,0.42,0.46,0.42,0.62,0.41,0.47,0.78
haphazard.csv,0.94,0.92,0.89,0.98,0.93,0.91,0.93,0.88,0.92,0.95
jicarilla.csv,0.0,0.88,0.82,0.97,0.95,0.9,0.83,0.86,0.92,0.95
ondex.csv,0.7,0.91,0.83,0.59,0.56,0.89,0.0,0.52,0.67,0.97
optalgtoolkit.csv,0.46,0.47,0.83,0.43,0.43,0.58,0.52,0.4,0.65,0.37
ossim.csv,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0
projectts.csv,0.55,0.57,0.76,0.5,0.42,0.39,0.61,0.36,0.52,0.46
sabbu.csv,0.5,0.48,0.62,0.51,0.42,0.4,0.54,0.55,0.41,0.32
vxl.csv,0.89,0.91,0.67,0.99,0.95,0.5,0.68,0.88,0.91,0.95
zact.csv,0.0,0.0,0.0,0.5,0.83,0.0,0.0,0.88,0.5,0.0
