,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.4,0.23,0.38,0.07,0.06,0.35,0.6,1.0,0.2,0.11
haphazard.csv,0.33,0.15,0.44,0.02,0.0,0.36,0.8,0.88,1.0,0.16
jicarilla.csv,0.0,0.32,0.97,0.0,0.1,0.2,0.5,0.29,0.23,0.21
ondex.csv,0.48,0.36,0.17,0.08,0.07,0.33,0.0,0.65,0.21,1.0
optalgtoolkit.csv,0.51,0.25,0.61,0.06,0.07,1.0,0.62,0.65,0.19,0.16
ossim.csv,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
projectts.csv,0.76,0.25,0.55,0.07,0.07,0.39,1.0,0.67,0.29,0.22
sabbu.csv,0.98,0.27,0.38,0.08,0.08,0.4,0.57,0.68,0.2,0.2
vxl.csv,0.28,1.0,0.56,0.03,0.05,0.5,0.68,0.56,0.27,0.21
zact.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.0,0.0
