,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,arm-webradio.csv
alleg.csv,0.73,0.18,0.31,0.15,0.54,0.39,0.27,0.18,0.52,0.07,0.22,0.86,0.74,0.1,0.58,0.76,0.67
arm-webradio.csv,0.67,0.27,0.18,0.15,0.58,0.38,0.4,0.44,0.51,0.09,0.17,0.83,0.58,0.02,0.52,0.71,0.64
bwapi.csv,0.6,0.13,0.12,0.1,0.51,0.39,0.29,0.07,0.42,0.11,0.21,0.82,0.6,0.05,0.64,0.92,0.18
co-ode-owl-plugins.csv,0.68,0.23,0.22,0.16,0.63,0.53,0.67,0.59,0.49,0.11,0.11,0.91,0.53,0.05,0.64,0.76,0.71
firebreath.csv,0.84,0.17,0.16,0.16,0.65,0.56,0.47,0.1,0.43,0.14,0.12,0.92,0.59,0.14,0.83,0.62,0.25
frogatto.csv,0.8,0.17,0.16,0.17,0.64,0.47,0.35,0.1,0.59,0.23,0.23,0.88,0.65,0.05,0.76,0.57,0.27
gretl.csv,0.75,0.22,0.22,0.21,0.55,0.4,0.27,0.21,0.4,0.11,0.17,0.93,0.67,0.12,0.52,0.76,0.44
jasperreports.csv,0.59,0.1,0.12,0.09,0.46,0.4,0.28,0.06,0.18,0.16,0.23,0.84,0.66,0.28,0.4,0.94,0.0
konversation.csv,0.8,0.22,0.36,0.22,0.86,0.56,0.3,0.19,0.33,0.12,0.2,0.93,0.53,0.12,0.83,0.84,0.29
linuxsh.csv,0.68,0.38,0.23,0.23,0.62,0.46,0.0,0.52,0.45,0.09,0.0,0.89,0.53,0.0,0.63,0.72,0.81
moviesandbox.csv,0.72,0.29,0.18,0.18,0.69,0.56,0.25,0.29,0.49,0.12,0.2,0.9,0.56,0.07,0.69,0.62,0.26
ontomorphtab.csv,0.86,0.24,0.2,0.23,0.64,0.51,0.33,0.09,0.44,0.19,0.18,0.94,0.63,0.15,0.68,0.76,0.36
opengs.csv,0.9,0.23,0.33,0.26,0.65,0.45,0.6,1.0,0.69,0.13,0.0,0.92,0.61,0.06,0.72,0.81,0.87
scite-ru.csv,0.64,0.29,0.13,0.14,0.6,0.39,0.45,0.19,0.52,0.12,0.24,0.91,0.59,0.05,0.63,0.78,0.32
tokratan.csv,0.79,0.29,0.39,0.3,0.63,0.48,1.0,1.0,0.86,0.24,0.15,0.92,0.6,0.07,1.0,1.0,0.31
vrjuggler.csv,0.83,0.0,0.5,0.33,0.62,0.4,0.33,0.33,0.0,0.0,0.36,0.73,0.67,0.01,0.62,0.59,0.58
xuggle.csv,0.74,0.18,0.23,0.3,0.6,0.44,0.39,0.11,0.55,0.19,0.12,0.86,0.68,0.05,0.63,0.77,0.37
