,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,arm-webradio.csv
alleg.csv,0.23,0.73,0.67,0.54,0.75,0.37,0.33,0.67,0.91,0.4,0.5,0.69,0.72,0.69,0.72,0.42,0.51
arm-webradio.csv,0.4,0.73,0.17,0.46,0.66,0.25,0.1,0.67,0.96,0.47,0.06,0.24,0.25,0.15,0.72,0.68,0.97
bwapi.csv,0.91,0.64,1.0,0.91,0.48,0.98,1.0,0.39,0.41,0.73,1.0,0.88,0.86,0.96,0.44,0.76,0.54
co-ode-owl-plugins.csv,0.54,0.64,0.58,0.87,0.84,0.63,0.19,0.72,0.93,0.93,0.06,0.37,0.31,0.88,0.78,0.84,0.97
firebreath.csv,0.46,1.0,0.75,0.72,0.82,0.7,0.43,0.39,0.87,0.67,0.25,0.68,0.69,0.69,0.42,0.28,0.74
frogatto.csv,0.69,0.64,0.92,0.83,0.64,0.62,0.81,0.44,0.65,0.8,1.0,0.69,0.73,1.0,0.69,0.27,0.57
gretl.csv,0.6,0.73,0.75,0.63,0.93,0.55,0.38,0.89,0.76,1.0,0.25,0.71,0.69,0.96,0.94,0.85,0.57
jasperreports.csv,0.49,0.36,1.0,0.67,0.41,0.88,0.95,0.33,0.2,0.2,1.0,0.74,0.76,0.96,0.33,0.13,0.0
konversation.csv,0.34,0.36,0.83,0.43,0.43,0.68,0.33,0.22,0.11,0.67,0.31,0.45,0.28,0.69,0.28,0.13,0.14
linuxsh.csv,0.37,0.82,0.25,0.11,0.68,0.18,0.0,0.61,0.96,0.6,0.0,0.12,0.1,0.0,0.53,0.47,0.37
moviesandbox.csv,0.74,0.64,0.75,0.59,0.77,0.58,0.1,0.61,0.81,0.67,0.06,0.25,0.28,0.69,0.5,0.33,0.29
ontomorphtab.csv,0.71,0.82,0.83,0.76,0.8,0.68,0.67,0.28,0.5,0.73,0.31,0.58,0.45,0.96,0.72,0.2,0.63
opengs.csv,0.26,0.55,0.75,0.61,0.7,0.57,0.14,0.22,0.78,0.73,0.0,0.32,0.32,0.62,0.5,0.34,0.37
scite-ru.csv,0.91,0.91,0.58,0.87,0.91,0.68,0.43,0.78,0.96,1.0,0.75,0.47,0.49,1.0,0.81,0.98,0.86
tokratan.csv,0.31,0.45,0.58,0.52,0.59,0.27,0.1,0.06,0.46,0.6,0.12,0.49,0.36,0.92,0.19,0.12,0.37
vrjuggler.csv,0.43,0.0,0.5,0.04,0.23,0.03,0.19,0.11,0.0,0.0,0.81,0.08,0.05,0.08,0.5,0.18,0.54
xuggle.csv,0.4,0.82,0.58,0.72,0.73,0.62,0.62,0.28,0.85,0.93,0.19,0.65,0.76,0.88,0.75,0.85,0.6
