,sabbu.csv,vxl.csv,kdenlive.csv,zact.csv,optalgtoolkit.csv,tokratan.csv,boost-sandbox.csv,foursquared.csv,jasperreports.csv
boost-sandbox.csv,0.24,0.49,0.41,0.29,0.53,0.2,0.97,0.42,0.54
foursquared.csv,0.12,0.0,0.2,0.0,0.0,0.33,0.01,1.0,0.15
jasperreports.csv,0.02,0.0,0.0,0.29,0.05,0.4,0.02,0.5,0.96
kdenlive.csv,0.69,0.59,0.96,0.57,0.74,0.93,0.79,0.71,0.96
optalgtoolkit.csv,0.78,0.68,0.77,0.86,1.0,0.4,0.61,0.79,0.77
sabbu.csv,0.97,0.3,0.59,0.86,0.26,0.8,0.48,0.88,0.54
tokratan.csv,0.52,0.08,0.37,0.14,0.11,0.93,0.39,0.21,0.15
vxl.csv,0.5,0.81,0.61,0.14,0.05,0.07,0.61,0.25,0.15
zact.csv,0.0,0.0,0.0,1.0,0.47,0.0,0.0,0.54,0.04
