,kvs.csv,fltk.csv,phet.csv,blue-c.csv,voms.csv,jbasic.csv,apertium.csv,smarttag.csv,vrjuggler.csv,sumatrapdf.csv,monetdb.csv,wheat.csv,repositorium.csv,projecteqemu.csv,free-evolution.csv,icescrum.csv,factor.csv
apertium.csv,0.61,0.91,0.83,0.97,0.63,0.54,0.04,0.89,0.76,0.92,0.94,0.86,0.96,0.88,1.0,0.65,0.6
blue-c.csv,0.84,0.9,0.79,0.04,0.67,0.51,0.72,0.81,0.94,0.44,0.56,0.74,0.65,0.65,0.59,0.69,0.61
factor.csv,1.0,0.79,1.0,0.87,0.78,0.89,1.0,0.7,0.94,0.87,0.85,0.97,0.91,0.79,0.85,0.54,0.13
fltk.csv,0.85,0.12,0.98,0.7,0.89,0.77,0.98,0.58,0.89,0.55,0.71,0.87,0.91,0.43,0.73,0.62,0.64
free-evolution.csv,0.75,0.83,0.93,0.86,0.89,0.77,0.93,0.96,0.82,0.9,0.9,0.81,0.95,0.59,0.15,0.8,0.79
icescrum.csv,0.71,0.71,0.94,0.83,0.9,0.47,0.74,0.73,0.77,0.74,0.59,0.89,0.93,0.51,0.74,0.0,0.81
jbasic.csv,0.8,0.94,0.86,1.0,0.89,0.08,0.78,1.01,0.72,0.74,1.0,0.89,0.92,0.92,1.0,0.64,1.02
kvs.csv,0.05,0.8,0.9,1.0,0.79,0.81,0.96,0.93,0.81,0.78,0.86,0.87,0.56,0.7,0.76,0.71,0.86
monetdb.csv,0.77,0.72,0.86,0.71,0.71,0.75,0.81,0.91,1.0,0.68,0.03,0.74,0.47,0.6,0.8,0.77,0.28
phet.csv,0.94,0.81,0.16,1.0,0.84,0.95,0.73,0.96,0.95,1.12,0.92,0.91,0.98,0.85,0.94,0.94,0.83
projecteqemu.csv,0.88,0.64,0.95,0.77,0.78,0.8,0.95,0.6,0.96,0.71,0.61,0.93,0.92,0.04,0.83,0.66,0.72
repositorium.csv,0.62,0.76,0.76,0.98,0.53,0.65,0.98,0.73,0.82,0.65,0.86,0.87,0.09,0.71,0.76,0.72,0.75
smarttag.csv,0.66,0.6,0.78,0.54,0.47,0.71,0.69,0.0,1.01,0.76,0.52,0.77,0.83,0.51,0.77,0.51,0.67
sumatrapdf.csv,0.58,0.72,0.83,0.61,0.58,0.58,0.83,0.58,0.89,0.06,0.5,0.72,0.6,0.69,0.67,0.72,0.55
voms.csv,0.7,0.58,0.96,1.0,0.11,0.91,0.88,1.0,1.0,0.87,0.63,0.87,0.84,0.53,0.97,0.72,0.82
vrjuggler.csv,0.9,0.79,0.73,0.8,1.01,0.95,0.9,0.79,0.13,0.94,0.6,0.91,0.93,0.71,0.83,0.84,0.65
wheat.csv,0.81,0.66,0.72,0.74,0.54,0.65,0.86,0.8,0.8,0.75,0.56,0.04,0.68,0.79,0.71,0.44,0.63
