,kvs.csv,fltk.csv,phet.csv,blue-c.csv,voms.csv,jbasic.csv,apertium.csv,smarttag.csv,vrjuggler.csv,sumatrapdf.csv,monetdb.csv,wheat.csv,repositorium.csv,projecteqemu.csv,free-evolution.csv,icescrum.csv,factor.csv
apertium.csv,0.64,0.13,0.38,0.04,0.48,0.55,0.97,0.17,0.59,0.39,0.07,0.17,0.11,0.17,0.0,0.56,0.65
blue-c.csv,0.33,0.35,0.46,0.99,0.55,0.61,0.61,0.53,0.14,0.7,0.68,0.39,0.48,0.7,0.49,0.62,0.63
factor.csv,0.0,0.25,0.0,0.16,0.26,0.13,0.0,0.4,0.07,0.16,0.18,0.05,0.11,0.26,0.18,0.52,0.97
fltk.csv,0.18,0.9,0.07,0.35,0.13,0.28,0.26,0.62,0.14,0.5,0.35,0.17,0.11,0.68,0.31,0.46,0.42
free-evolution.csv,0.29,0.22,0.31,0.23,0.13,0.28,0.1,0.09,0.23,0.37,0.13,0.25,0.11,0.47,0.88,0.25,0.39
icescrum.csv,0.35,0.37,0.15,0.2,0.13,0.69,0.32,0.33,0.35,0.3,0.49,0.13,0.11,0.57,0.31,1.0,0.26
jbasic.csv,0.24,0.09,0.33,0.0,0.13,0.93,0.28,0.0,0.35,0.44,0.0,0.17,0.11,0.1,0.0,0.42,0.0
kvs.csv,0.96,0.25,0.17,0.0,0.26,0.23,0.05,0.09,0.23,0.35,0.18,0.17,0.5,0.36,0.28,0.36,0.2
monetdb.csv,0.29,0.36,0.23,0.37,0.37,0.29,0.28,0.36,0.0,0.39,0.98,0.54,0.65,0.57,0.28,0.36,0.78
phet.csv,0.27,0.49,0.87,0.0,0.47,0.33,0.62,0.09,0.21,0.23,0.3,0.37,0.09,0.45,0.28,0.38,0.48
projecteqemu.csv,0.18,0.44,0.11,0.27,0.26,0.25,0.14,0.48,0.07,0.34,0.49,0.09,0.11,0.97,0.21,0.46,0.36
repositorium.csv,0.45,0.33,0.56,0.12,0.76,0.45,0.31,0.61,0.29,0.63,0.18,0.44,0.92,0.45,0.31,0.6,0.58
smarttag.csv,0.4,0.54,0.34,0.54,0.6,0.34,0.43,1.0,0.0,0.3,0.66,0.33,0.21,0.7,0.31,0.66,0.5
sumatrapdf.csv,0.53,0.62,0.37,0.45,0.48,0.56,0.47,0.72,0.33,0.95,0.76,0.4,0.66,0.64,0.65,0.64,0.54
voms.csv,0.35,0.59,0.05,0.0,0.91,0.12,0.19,0.0,0.0,0.16,0.44,0.17,0.21,0.58,0.04,0.36,0.26
vrjuggler.csv,0.12,0.25,0.34,0.24,0.0,0.12,0.19,0.25,0.9,0.07,0.49,0.13,0.11,0.52,0.21,0.19,0.43
wheat.csv,0.29,0.56,0.39,0.53,0.65,0.47,0.46,0.53,0.29,0.3,0.65,0.97,0.58,0.53,0.45,0.68,0.64
