,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.57,0.23,0.56,0.4,0.75,0.3,0.3,0.33,0.83,0.2
gamestone.csv,0.02,0.19,0.08,0.38,0.24,0.0,0.01,0.32,0.23,0.2
gbif-providertoolkit.csv,0.96,0.69,0.68,0.54,0.28,0.26,0.85,0.59,0.46,1.0
heekscad.csv,0.3,0.27,0.27,0.26,0.48,0.22,0.5,0.39,0.6,0.6
igarden.csv,0.17,0.33,0.15,0.35,0.28,0.17,0.39,0.23,0.38,0.3
levent.csv,0.4,0.12,0.0,0.01,0.72,0.39,0.51,0.0,0.0,0.0
owlapi.csv,0.74,0.27,0.48,0.21,0.67,0.57,0.84,0.24,0.6,0.5
pnotepad.csv,0.19,0.48,0.72,0.96,0.91,0.57,0.5,0.83,1.0,0.1
quark.csv,0.15,0.02,0.04,0.04,0.09,0.0,0.0,0.1,0.23,0.0
xcsoar.csv,0.26,0.15,0.24,0.51,0.39,0.22,0.34,0.34,1.0,0.0
