,qtractor.csv,alleg.csv,ossbuild.csv,mimosa.csv,quarkplayer.csv,freewrl.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,jstock.csv,synergyspace.csv,jcache.csv,fulguro.csv,miranda.csv
alleg.csv,0.64,0.75,0.18,0.1,0.05,0.17,0.4,0.44,0.17,0.24,0.15,0.18,0.72
freewrl.csv,0.73,0.76,0.2,0.48,0.12,0.71,0.71,0.55,0.44,0.29,0.74,0.23,0.8
fulguro.csv,0.42,0.1,0.0,0.74,0.12,0.72,0.0,0.16,0.36,0.38,0.62,0.38,0.0
google-web-toolkit.csv,0.61,0.14,0.12,0.69,0.17,0.5,0.69,0.47,0.35,0.35,0.8,0.22,0.66
jcache.csv,0.75,0.75,0.19,0.64,0.13,0.66,0.66,0.57,0.47,0.23,0.88,0.18,0.77
jstock.csv,0.59,0.29,0.05,0.53,0.17,0.66,0.59,0.52,0.69,0.28,0.81,0.17,0.54
mimosa.csv,0.68,0.75,0.24,0.78,0.11,0.66,0.63,0.54,0.45,0.45,0.71,0.17,0.67
miranda.csv,0.68,0.48,0.08,0.15,0.0,0.0,0.16,0.39,0.0,0.2,0.53,0.17,0.76
ns-3-dev-def-routing.csv,0.55,0.76,0.22,0.52,0.14,0.12,0.52,0.55,0.24,0.32,0.44,0.12,0.77
ossbuild.csv,0.73,0.55,0.44,0.63,0.16,0.62,0.54,0.53,0.5,0.24,0.55,0.17,0.67
qtractor.csv,0.72,0.62,0.23,0.81,0.13,0.13,0.55,0.61,0.48,0.24,0.67,0.22,0.75
quarkplayer.csv,0.21,0.25,0.17,0.41,0.27,0.0,0.28,0.29,0.0,0.29,0.3,0.2,0.14
synergyspace.csv,0.33,0.52,0.22,0.74,0.13,0.43,0.55,0.38,0.29,0.46,0.37,0.1,0.16
