,lsb.csv,mcore3d.csv,yield.csv,maya-work-in-progress.csv,mscore.csv,hydrogen.csv,xemeiah.csv,virtuoso.csv,enzo.csv,xined.csv,lphant.csv,salasaga.csv,keyczar.csv,xtreemfs.csv,autowikibrowser.csv,rocrail.csv,natpad.csv
autowikibrowser.csv,0.74,0.72,0.7,0.77,0.71,0.36,0.59,0.27,0.94,0.24,0.62,0.18,0.87,0.91,0.65,0.38,0.49
enzo.csv,0.21,0.69,0.49,0.39,0.6,0.19,0.44,0.24,0.93,0.15,0.4,0.15,0.76,0.83,0.44,0.23,0.42
hydrogen.csv,0.25,0.68,0.48,0.0,0.6,0.41,0.47,0.23,0.8,0.0,0.4,0.15,0.0,0.84,0.45,0.22,0.48
keyczar.csv,0.48,0.56,0.25,0.3,0.48,0.0,0.21,0.0,0.85,0.0,0.43,0.0,0.88,0.69,0.38,0.17,0.17
lphant.csv,0.14,0.71,0.49,0.74,0.68,0.24,0.54,0.24,1.0,0.27,0.67,0.29,0.9,0.91,0.58,0.37,0.74
lsb.csv,0.83,0.68,0.57,0.78,0.64,0.17,0.62,0.29,0.91,0.4,0.5,0.25,0.81,0.9,0.53,0.28,0.44
maya-work-in-progress.csv,0.31,0.72,0.58,0.79,0.68,0.17,0.53,0.26,0.78,0.24,0.53,0.27,0.91,0.89,0.55,0.27,0.49
mcore3d.csv,0.56,0.8,0.79,0.77,0.67,0.6,0.5,0.0,1.0,0.23,0.56,0.2,0.87,0.91,0.54,0.43,0.65
mscore.csv,0.13,0.71,0.52,0.54,0.8,0.23,0.51,0.28,0.92,0.22,0.47,0.19,0.88,0.87,0.61,0.3,0.65
natpad.csv,0.25,0.73,0.62,0.8,0.74,0.22,0.56,0.25,0.74,0.24,0.55,0.28,0.81,0.9,0.51,0.28,0.59
rocrail.csv,0.83,0.76,0.68,0.79,0.85,0.34,0.74,0.28,0.94,0.26,0.64,0.24,0.88,0.77,0.71,0.56,0.66
salasaga.csv,0.17,0.72,0.51,0.65,0.72,0.22,0.55,0.24,0.59,0.25,0.56,0.31,0.9,0.89,0.57,0.3,0.59
virtuoso.csv,0.0,0.68,0.47,0.41,0.6,0.14,0.46,0.49,0.8,0.0,0.4,0.0,0.81,0.85,0.44,0.22,0.0
xemeiah.csv,0.36,0.74,0.7,0.87,0.75,0.18,0.7,0.24,0.74,0.23,0.59,0.23,0.87,0.9,0.67,0.35,0.54
xined.csv,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.88,0.0,0.0,0.0,0.0
xtreemfs.csv,0.24,0.72,0.56,0.77,0.73,0.18,0.5,0.27,0.84,0.23,0.4,0.17,0.33,0.95,0.52,0.3,0.51
yield.csv,0.5,0.72,0.79,0.57,0.75,0.23,0.56,0.3,0.88,0.21,0.51,0.24,0.85,0.83,0.52,0.3,0.55
