,ifmo-game-1.csv,quarkplusplus.csv,dataobjectsdotnet.csv,xapian.csv,pi-qmc.csv,gstreamer.csv,zemljanka.csv
dataobjectsdotnet.csv,0.71,0.43,0.61,0.57,0.7,0.55,0.0
gstreamer.csv,0.6,0.6,0.42,0.61,0.46,0.7,0.66
ifmo-game-1.csv,0.73,0.0,0.29,0.05,0.17,0.39,0.01
pi-qmc.csv,0.32,0.49,0.49,0.55,0.78,0.35,0.37
quarkplusplus.csv,0.57,0.64,0.55,0.27,0.21,0.2,0.01
xapian.csv,0.6,0.0,0.55,0.74,0.39,0.58,0.56
zemljanka.csv,0.69,0.47,0.17,0.24,0.49,0.51,0.83
