,reactos-mirror.csv,flylegacy.csv,etics.csv,bloodycore.csv,gzigzag.csv,blue-c.csv,jguard.csv,flexpay.csv,unbvision.csv,ppcboot.csv,auber.csv,img-browse-sort.csv,qdvdauthor.csv,biodwh.csv,ftm.csv,jcache.csv
auber.csv,0.77,0.64,0.57,0.72,0.48,0.5,0.77,0.53,0.73,0.68,0.52,0.43,0.5,0.45,0.54,0.59
biodwh.csv,0.81,0.64,0.73,0.93,0.7,0.86,0.95,0.99,0.73,0.75,0.93,0.67,0.65,0.92,0.74,0.52
bloodycore.csv,0.99,0.66,0.51,0.98,0.56,0.72,0.0,0.99,0.67,0.98,0.89,0.71,0.8,0.55,0.47,0.83
blue-c.csv,0.83,0.72,0.49,0.76,0.54,0.48,0.53,0.62,0.57,0.76,0.53,0.55,0.56,0.52,0.56,0.6
etics.csv,0.48,0.39,0.75,0.62,0.48,0.54,0.52,0.55,0.44,0.94,0.53,0.45,0.51,0.4,0.59,0.64
flexpay.csv,0.62,0.74,0.58,0.7,0.51,0.9,0.7,0.99,0.97,0.69,0.97,0.4,0.94,0.72,0.52,0.9
flylegacy.csv,0.85,0.39,0.47,0.45,0.38,0.37,0.65,0.47,0.49,0.97,0.42,0.64,0.4,0.83,0.47,0.38
ftm.csv,0.71,0.46,0.48,0.54,0.46,0.5,0.56,0.65,0.65,0.81,0.52,0.43,0.42,0.57,0.52,0.45
gzigzag.csv,0.83,0.63,0.7,0.66,0.82,0.88,0.9,0.84,0.65,0.92,0.69,0.69,0.77,0.64,0.57,0.88
img-browse-sort.csv,0.64,0.94,0.8,0.82,0.66,0.86,0.92,0.64,0.67,0.87,0.77,0.83,0.76,0.93,0.62,0.57
jcache.csv,0.45,0.33,0.41,0.54,0.5,0.54,0.45,0.61,0.47,0.49,0.6,0.32,0.43,0.59,0.89,0.45
jguard.csv,0.42,0.42,0.47,0.4,0.42,0.53,0.67,0.46,0.55,0.58,0.41,0.37,0.47,0.43,0.45,0.52
ppcboot.csv,0.61,0.62,0.46,0.48,0.43,0.63,0.5,0.46,0.7,0.77,0.66,0.48,0.5,0.38,0.52,0.67
qdvdauthor.csv,0.47,0.55,0.56,0.48,0.52,0.44,0.5,0.61,0.64,0.8,0.48,0.5,0.44,0.85,0.5,0.72
reactos-mirror.csv,0.62,0.45,0.4,0.4,0.46,0.65,0.49,0.46,0.67,0.58,0.47,0.46,0.59,0.37,0.47,0.46
unbvision.csv,0.99,0.56,0.43,0.99,0.43,0.56,0.42,0.4,0.75,0.74,0.52,0.48,0.81,0.36,0.44,0.55
