,reactos-mirror.csv,flylegacy.csv,etics.csv,bloodycore.csv,gzigzag.csv,blue-c.csv,jguard.csv,flexpay.csv,unbvision.csv,ppcboot.csv,auber.csv,img-browse-sort.csv,qdvdauthor.csv,biodwh.csv,ftm.csv,jcache.csv
auber.csv,0.73,0.7,0.82,0.66,0.69,0.44,0.66,0.7,0.59,0.58,0.05,0.51,0.59,0.85,0.65,0.63
biodwh.csv,0.71,0.69,0.58,0.78,0.69,0.77,0.95,0.76,0.83,0.98,0.84,0.92,0.71,0.0,0.66,0.54
bloodycore.csv,0.87,0.65,0.87,0.09,0.78,1.12,1.0,0.84,0.93,0.87,1.01,0.66,0.88,0.64,0.9,0.88
blue-c.csv,0.66,0.8,0.89,0.71,0.66,0.1,0.68,0.6,0.38,0.62,0.52,0.65,0.66,0.67,0.63,0.57
etics.csv,0.74,0.62,0.08,0.68,0.65,0.71,0.85,0.62,0.73,0.92,0.77,0.92,0.68,0.84,0.59,0.66
flexpay.csv,0.86,0.73,0.96,0.69,0.8,0.7,0.77,0.03,0.92,0.79,0.9,0.87,0.96,0.88,0.88,0.83
flylegacy.csv,0.7,0.06,0.8,0.65,0.6,0.42,0.74,0.64,0.56,0.85,0.56,0.58,0.76,0.53,0.6,0.35
ftm.csv,0.61,0.69,0.8,0.65,0.59,0.58,0.74,0.68,0.72,0.49,0.66,0.57,0.39,0.51,0.08,0.47
gzigzag.csv,0.65,0.8,0.71,0.76,0.03,0.8,0.88,0.73,0.51,0.59,0.68,0.92,0.77,0.57,0.69,1.03
img-browse-sort.csv,0.63,0.75,0.58,0.68,0.56,0.8,0.88,0.63,0.46,0.7,0.75,0.08,0.71,0.77,0.67,0.62
jcache.csv,0.61,0.85,0.47,0.72,0.59,0.72,0.81,0.72,0.67,0.69,0.66,0.69,0.5,0.55,0.81,0.03
jguard.csv,0.94,0.71,0.71,0.77,0.78,0.62,0.0,0.77,0.75,0.98,0.78,0.52,1.0,0.69,0.96,0.5
ppcboot.csv,0.68,0.65,0.78,0.71,0.65,0.84,0.68,0.7,0.66,0.1,0.71,0.52,0.75,0.71,0.65,0.66
qdvdauthor.csv,0.83,0.87,0.99,0.68,0.69,0.49,0.54,0.61,0.46,0.72,0.79,0.57,0.05,0.87,0.64,0.98
reactos-mirror.csv,0.09,0.68,0.86,0.77,0.69,0.77,0.76,0.67,0.58,1.0,0.8,0.54,0.78,0.75,0.81,0.24
unbvision.csv,0.82,0.77,0.96,0.74,0.87,0.9,0.8,0.94,0.07,0.69,0.82,0.7,0.73,0.95,0.89,0.95
