,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,0.21,0.97,0.63,0.52,0.7,0.39,0.51,0.51,0.96,0.75,0.36,0.7,0.78,0.68
carabiner.csv,0.23,0.05,0.55,0.45,0.51,0.93,0.61,0.36,0.7,0.32,0.3,0.27,0.52,0.1
elvishrayrenderer.csv,0.27,0.55,0.57,0.53,0.63,0.32,0.75,0.46,0.71,0.5,0.34,0.63,1.0,0.39
fleet-simulator.csv,0.22,0.69,0.64,0.49,0.82,0.49,0.97,0.49,1.0,0.83,0.39,0.81,0.79,0.54
gmerlin.csv,0.29,0.56,0.39,0.33,0.73,0.33,0.37,0.97,0.47,0.56,0.4,0.47,0.51,0.32
gnome-jabber.csv,0.24,0.62,0.51,0.54,0.78,0.51,0.99,0.46,0.85,0.7,0.4,0.75,0.68,0.56
ipfilter.csv,0.27,0.33,0.59,0.48,0.81,0.5,0.92,0.3,0.84,1.0,0.41,0.71,0.73,0.51
irplus.csv,0.34,0.22,0.21,0.98,0.52,0.1,0.54,0.41,0.48,0.54,0.41,0.41,0.4,0.19
mevenide.csv,0.24,0.05,0.26,0.3,0.53,0.15,0.06,0.28,0.69,0.16,1.0,0.43,0.43,0.0
moving-pictures.csv,0.21,0.36,0.98,0.55,0.55,0.29,0.14,0.49,0.31,0.44,0.4,0.67,0.49,0.52
opensim4opencog.csv,0.98,0.05,0.24,0.49,0.26,0.21,0.86,0.18,0.11,0.65,0.3,0.46,0.0,0.18
rockbox.csv,0.18,0.43,0.39,0.28,0.29,0.34,0.45,0.37,0.65,0.61,0.28,0.62,0.36,1.0
ta3d.csv,0.25,0.64,0.55,0.45,0.58,0.49,0.08,0.41,0.84,0.77,0.4,1.0,0.74,0.64
xcmetadataservicestoolkit.csv,0.19,0.18,0.58,0.49,1.0,0.33,0.85,0.36,0.81,0.75,0.22,0.72,0.56,0.08
