,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.46,0.09,0.07,0.02,0.0,0.97,0.0,0.0,0.2,0.01
fityk.csv,0.68,0.44,0.56,0.39,0.63,0.28,0.54,0.7,0.52,0.54
freenet.csv,0.5,0.67,0.7,0.45,0.13,0.68,0.68,0.47,0.62,0.69
geogebra.csv,0.72,0.37,0.62,0.58,0.66,0.29,0.58,0.52,0.53,0.67
hibernate.csv,0.25,0.52,0.54,0.51,0.43,0.72,0.66,0.66,0.56,0.64
itext.csv,0.72,0.05,0.46,0.65,0.7,0.09,0.09,0.69,0.5,0.47
k3b.csv,0.68,0.24,0.58,0.68,0.68,0.5,0.69,0.46,0.63,0.54
lamp.csv,0.67,0.44,0.62,0.59,0.74,0.46,0.7,0.58,0.57,0.47
megameknet.csv,0.46,0.66,0.67,0.57,0.4,0.27,0.71,0.6,0.56,0.51
thout.csv,0.52,0.64,0.42,0.46,0.0,0.79,0.27,0.32,0.45,0.33
