,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.86,0.07,0.06,0.02,0.0,1.0,0.0,0.0,0.17,0.01
fityk.csv,0.71,0.68,0.8,0.34,0.68,0.25,0.84,0.73,0.5,0.55
freenet.csv,0.57,0.7,0.73,0.62,1.0,1.0,0.81,0.77,0.72,0.89
geogebra.csv,0.79,0.32,0.77,0.55,0.79,0.25,0.54,0.5,0.5,0.65
hibernate.csv,0.21,0.8,0.5,0.5,0.38,0.75,0.65,0.68,0.53,0.62
itext.csv,0.79,1.0,0.87,0.66,0.68,1.0,1.0,0.77,0.97,0.98
k3b.csv,0.86,0.91,0.93,0.66,0.82,0.5,0.71,0.75,0.74,0.81
lamp.csv,0.64,0.39,0.68,0.88,0.82,0.5,0.71,0.59,0.56,0.91
megameknet.csv,0.43,0.8,0.79,0.76,0.85,0.25,0.71,0.86,0.61,0.83
thout.csv,0.79,0.61,0.85,0.66,1.0,1.0,0.9,0.84,0.75,0.95
