,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.69,0.57,0.5,0.46,0.0,0.39,0.0,0.44,0.43,0.52
clamav.csv,0.62,0.74,0.64,0.62,0.69,0.41,0.69,0.76,0.5,0.71
dvd-create.csv,0.56,0.57,0.54,0.44,0.8,0.65,0.1,0.64,0.61,0.68
gbif-indexingtoolkit.csv,0.66,0.49,0.42,0.41,0.61,0.7,0.0,0.4,0.55,0.6
go.csv,0.63,0.45,0.75,0.53,0.46,0.43,0.38,0.39,0.41,0.62
kwave.csv,0.69,0.56,0.53,0.48,0.72,0.57,0.0,0.18,0.68,0.7
libarchive.csv,0.72,0.57,0.48,0.44,0.5,0.3,0.69,0.68,0.43,0.59
liferea.csv,0.56,0.7,0.6,0.34,0.63,0.21,0.29,0.59,0.53,0.64
linux-ntfs.csv,0.56,0.49,0.54,0.5,0.69,0.55,0.51,0.67,0.69,0.57
mpgravity.csv,0.53,0.27,0.71,0.47,0.47,0.3,0.83,0.62,0.35,0.53
