,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,findbugs.csv,tweetsharp.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.92,0.42,0.99,0.37,0.8,0.25,0.78,0.87,0.65,0.25,0.43,0.25,0.53,0.27,0.86,0.67
betoffice.csv,0.42,0.89,0.45,0.89,1.0,0.83,0.96,0.53,0.5,0.88,0.83,0.88,0.89,0.87,0.84,0.67
bnetd.csv,0.92,1.0,0.9,0.26,0.6,0.26,0.57,1.0,0.61,0.25,0.2,0.88,0.67,0.8,0.9,0.78
elvishrayrenderer.csv,0.5,0.95,0.0,0.52,0.3,0.28,0.17,0.13,0.16,0.5,0.11,0.5,0.71,0.6,0.3,0.28
emisview.csv,0.33,0.0,0.01,0.15,0.1,0.25,0.04,0.11,0.18,0.0,0.14,0.62,0.27,0.13,0.19,0.0
findbugs.csv,1.0,0.42,0.99,0.35,0.8,0.57,0.48,0.64,0.39,0.0,0.8,0.12,0.36,0.27,0.93,0.56
hazelcast.csv,0.83,0.42,0.22,0.63,0.0,0.87,0.74,0.64,0.85,0.38,0.37,0.62,0.73,0.73,0.51,0.56
jitterbit.csv,1.0,0.63,0.42,0.48,0.6,0.47,0.26,0.2,0.21,0.25,0.91,0.25,0.53,0.4,0.65,0.33
jppf-project.csv,0.92,0.58,0.75,0.5,0.8,0.7,0.78,0.82,0.8,0.75,0.77,0.38,0.69,0.73,0.51,0.78
megasquirtavr.csv,1.0,1.0,0.12,0.89,1.0,1.0,0.78,0.78,0.46,0.75,1.0,0.88,0.98,0.73,0.87,0.89
stajistics.csv,0.58,1.0,0.01,1.0,0.2,0.81,0.26,0.38,0.52,0.88,0.69,1.0,0.8,0.93,0.28,0.94
trackit.csv,0.67,0.47,0.7,0.22,0.4,0.06,0.61,0.33,0.3,0.38,0.6,0.0,0.07,0.2,0.39,0.61
tweetsharp.csv,0.58,0.0,0.97,0.59,1.0,0.6,0.7,0.2,0.58,0.25,0.94,0.5,0.51,0.2,0.74,0.17
wxlua.csv,0.25,0.89,0.81,0.89,0.6,0.21,0.52,0.13,0.49,0.62,0.97,0.62,0.16,0.67,0.49,0.72
x4x.csv,0.25,0.84,0.97,0.59,0.8,0.13,0.78,0.78,0.78,0.88,0.69,0.75,0.62,0.8,0.61,0.94
xharbour.csv,0.92,0.05,0.63,0.52,0.0,0.64,0.52,0.82,0.62,0.5,0.63,0.62,0.76,0.67,0.67,0.5
