,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,findbugs.csv,tweetsharp.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,379.0,98.5,292.5,285.5,99.0,97.5,97.5,751.0,99.0,96.5,98.5,97.5,192.0,97.5,196.0,97.5
betoffice.csv,87.5,97.5,391.5,285.5,99.0,196.0,97.5,616.5,679.5,96.5,98.5,99.0,194.0,196.5,1411.0,97.5
bnetd.csv,379.0,98.5,292.5,280.5,99.0,526.0,97.5,846.5,99.0,96.5,98.5,99.0,291.5,97.5,196.0,97.5
elvishrayrenderer.csv,91.5,96.5,95.5,379.0,97.5,196.0,97.5,186.0,757.5,96.5,98.5,94.5,291.5,97.5,196.0,97.5
emisview.csv,91.5,0.0,75.0,187.0,93.5,576.5,97.5,327.0,99.0,0.0,279.5,97.5,95.5,62.5,97.5,94.5
findbugs.csv,379.0,98.5,291.0,486.0,99.0,97.5,95.5,371.0,99.0,90.5,186.0,96.5,291.5,97.5,196.0,94.5
hazelcast.csv,284.5,98.5,95.5,379.0,97.5,196.0,97.5,471.5,99.0,96.5,186.0,98.5,291.5,97.5,196.0,97.5
jitterbit.csv,379.0,98.5,734.5,185.0,196.5,97.5,94.5,275.5,99.0,192.0,281.5,98.5,291.5,97.5,196.0,94.5
jppf-project.csv,281.5,97.5,391.5,733.5,99.0,1748.5,95.5,1220.0,99.0,192.0,281.5,99.0,291.5,194.5,97.5,250.5
megasquirtavr.csv,379.0,98.5,95.5,379.0,99.0,196.0,97.5,366.0,99.0,96.5,98.5,99.0,291.5,196.5,196.0,97.5
stajistics.csv,91.5,98.5,99.0,379.0,97.5,97.5,97.5,565.0,872.5,194.0,98.5,99.0,194.0,196.5,196.0,97.5
trackit.csv,373.0,98.5,292.5,511.5,193.5,143.0,95.5,279.5,99.0,94.5,90.5,99.0,192.0,188.5,97.5,86.5
tweetsharp.csv,279.5,83.5,387.5,608.0,99.0,196.0,97.5,76.5,99.0,194.0,279.5,93.5,94.5,196.5,196.0,86.5
wxlua.csv,377.0,98.5,291.5,185.0,99.0,335.0,95.5,524.5,99.0,194.0,98.5,97.5,94.5,196.5,358.0,97.5
x4x.csv,185.0,97.5,391.5,918.5,99.0,297.0,97.5,1140.5,99.0,194.0,98.5,94.5,192.0,196.5,1486.5,97.5
xharbour.csv,282.5,98.5,293.0,185.0,94.5,1399.5,97.5,566.0,99.0,194.0,279.5,97.5,291.5,97.5,196.0,97.5
