,reactos-mirror.csv,flylegacy.csv,etics.csv,bloodycore.csv,gzigzag.csv,blue-c.csv,jguard.csv,flexpay.csv,unbvision.csv,ppcboot.csv,auber.csv,img-browse-sort.csv,qdvdauthor.csv,biodwh.csv,ftm.csv,jcache.csv
auber.csv,0.39,0.58,0.23,0.28,0.37,0.71,0.36,0.3,0.47,0.54,0.99,0.42,0.68,0.18,0.57,0.58
biodwh.csv,0.32,0.31,0.56,0.27,0.26,0.06,0.24,0.28,0.2,0.2,0.23,0.11,0.55,0.96,0.43,0.49
bloodycore.csv,0.11,0.4,0.25,0.96,0.28,0.17,0.0,0.17,0.18,0.28,0.13,0.38,0.18,0.17,0.53,0.06
blue-c.csv,0.55,0.71,0.32,0.28,0.37,0.98,0.4,0.32,0.45,0.65,0.72,0.58,0.71,0.27,0.65,0.74
etics.csv,0.16,0.57,0.96,0.23,0.32,0.55,0.34,0.3,0.37,0.12,0.48,0.21,0.52,0.24,0.6,0.62
flexpay.csv,0.32,0.63,0.16,0.19,0.39,0.55,0.37,0.98,0.25,0.38,0.37,0.37,0.38,0.23,0.62,0.06
flylegacy.csv,0.4,0.98,0.43,0.31,0.44,0.65,0.29,0.32,0.47,0.37,0.55,0.44,0.52,0.18,0.6,0.62
ftm.csv,0.55,0.65,0.44,0.3,0.44,0.55,0.37,0.32,0.44,0.64,0.52,0.4,0.62,0.27,0.95,0.77
gzigzag.csv,0.39,0.53,0.4,0.24,0.95,0.09,0.14,0.21,0.29,0.66,0.35,0.1,0.52,0.21,0.31,0.16
img-browse-sort.csv,0.49,0.69,0.54,0.29,0.37,0.67,0.21,0.28,0.38,0.62,0.54,1.0,0.7,0.24,0.56,0.68
jcache.csv,0.55,0.76,0.46,0.25,0.39,0.64,0.47,0.28,0.4,0.65,0.65,0.4,0.71,0.34,0.16,0.99
jguard.csv,0.56,0.76,0.35,0.27,0.43,0.65,0.98,0.32,0.48,0.68,0.7,0.49,0.7,0.17,0.63,0.6
ppcboot.csv,0.5,0.55,0.28,0.3,0.39,0.66,0.37,0.31,0.42,0.96,0.76,0.48,0.75,0.27,0.62,0.49
qdvdauthor.csv,0.56,0.42,0.37,0.21,0.25,0.62,0.49,0.23,0.48,0.46,0.55,0.54,1.0,0.32,0.49,0.6
reactos-mirror.csv,0.93,0.77,0.37,0.28,0.43,0.49,0.3,0.32,0.49,0.67,0.63,0.53,0.6,0.21,0.59,0.69
unbvision.csv,0.25,0.64,0.2,0.24,0.38,0.56,0.39,0.27,0.98,0.37,0.39,0.21,0.48,0.25,0.61,0.49
