,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.6,0.51,0.3,0.29,0.14,0.18,0.7,0.24,0.18,0.34,0.46,0.55,0.52,0.13
doomlegacy.csv,0.88,0.9,0.65,1.0,0.08,0.45,0.34,0.82,0.28,0.71,0.19,1.0,0.87,0.09
empserver.csv,0.62,0.99,0.79,0.57,0.64,1.0,0.68,0.96,0.54,0.89,0.81,0.73,0.82,0.35
fritzing.csv,0.84,0.78,0.58,0.57,0.42,0.36,0.7,0.98,0.54,0.24,0.58,0.32,0.44,0.68
ifmo-game-1.csv,0.68,0.01,0.07,0.86,0.33,0.0,0.96,0.11,0.12,0.09,0.04,0.0,0.14,0.07
jparsec.csv,0.9,0.11,0.69,0.86,0.89,0.55,0.91,0.67,0.78,0.49,0.46,0.14,0.47,0.81
lmms.csv,0.7,0.39,0.68,0.57,0.56,0.36,0.6,0.6,0.73,0.56,0.58,0.68,0.6,0.71
lufa-lib.csv,0.32,0.68,0.57,0.14,0.14,0.18,0.66,0.8,0.68,0.4,0.65,0.5,0.36,0.38
pgui.csv,0.64,0.99,0.01,1.0,0.64,0.0,0.7,0.89,0.99,0.0,0.5,1.0,0.32,0.0
pi-qmc.csv,0.26,0.11,0.69,0.29,0.92,0.82,1.0,0.36,0.98,0.7,0.62,0.77,0.4,0.96
repositorium.csv,0.1,0.06,0.49,0.57,0.17,0.91,0.0,0.13,0.06,0.39,0.54,0.5,0.25,0.12
superwaba.csv,0.68,0.68,0.36,0.57,0.56,0.91,0.7,0.76,0.22,0.56,0.42,0.45,0.81,0.24
xapian.csv,0.9,0.92,0.83,0.86,0.53,0.55,0.77,0.73,0.75,0.64,0.62,0.45,0.88,0.56
zemljanka.csv,0.78,0.83,0.78,0.86,0.75,0.73,0.77,0.98,0.55,0.82,0.96,0.82,0.75,0.82
