,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,jparsec.csv,kmess.csv
jparsec.csv,0.45,0.49,0.5,0.23,0.97,0.72
kmess.csv,0.48,0.41,0.37,0.29,0.43,0.98
minig.csv,0.33,0.65,0.97,0.14,0.44,0.68
ossbuild.csv,0.08,0.55,0.45,0.98,0.18,0.47
rezilla.csv,0.94,0.52,0.56,0.13,0.53,0.72
webdriver.csv,0.0,0.99,0.47,0.16,0.44,0.6
