,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,phet.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,qdvdauthor.csv,kmess.csv,moast.csv,nativeclient.csv,genoviz.csv
brlcad.csv,0.95,0.77,0.4,0.06,0.11,0.28,0.19,0.32,0.24,0.33,0.34,0.11,0.65,0.2,0.08,0.08,0.1,0.07,0.4
delphilhlplib.csv,0.95,0.67,0.85,0.43,0.95,0.59,0.39,0.58,0.53,0.66,0.4,0.63,0.81,0.52,0.55,0.35,0.99,0.27,1.0
exordium.csv,0.74,0.44,0.55,0.33,0.79,0.66,0.25,0.37,0.84,0.34,0.17,0.37,0.65,0.33,0.38,0.32,0.14,0.14,1.0
fltk.csv,0.95,0.64,0.66,0.63,0.89,0.69,0.68,0.63,0.67,0.61,0.89,0.47,0.68,0.65,0.6,0.7,0.99,0.55,1.0
genoviz.csv,0.31,0.09,0.75,0.12,0.21,0.55,0.17,0.11,0.16,0.16,0.11,0.13,0.03,0.14,0.25,0.14,0.62,0.27,1.0
gzigzag.csv,0.79,0.13,0.19,0.21,0.32,0.48,0.01,0.21,0.41,0.21,0.34,0.24,0.1,0.15,0.28,0.15,0.18,0.1,1.0
irrlicht.csv,1.0,0.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0
kmess.csv,0.18,0.0,0.02,0.81,0.53,0.14,0.03,0.58,0.78,0.45,0.0,0.66,0.23,0.15,0.6,0.73,0.19,0.0,0.2
moast.csv,0.1,0.64,0.25,0.36,0.37,0.79,0.33,0.21,1.0,0.24,1.0,0.21,0.06,0.48,0.12,1.0,0.97,0.93,0.6
mptvseries.csv,0.77,0.78,0.04,0.53,0.42,0.31,0.06,0.74,0.53,0.33,0.57,0.42,0.32,0.27,0.5,0.42,0.03,0.25,1.0
nativeclient.csv,0.28,0.47,0.96,0.49,0.95,0.66,0.32,0.42,0.88,0.5,0.69,0.76,0.74,0.65,0.55,0.66,0.94,0.66,0.8
openfrag.csv,1.0,0.65,0.91,0.79,0.84,0.66,0.7,0.68,0.88,0.71,0.43,0.53,0.23,0.7,0.57,0.57,0.93,0.37,0.8
phet.csv,0.03,0.57,0.25,0.13,0.21,0.38,0.59,0.37,0.18,0.44,0.09,0.68,0.84,0.32,0.38,0.4,0.02,0.5,0.0
qdvdauthor.csv,0.28,0.88,0.3,0.75,0.58,0.55,0.68,0.89,0.57,0.61,1.0,0.53,0.16,0.73,0.82,0.82,0.72,0.9,0.2
qse.csv,0.74,0.11,0.47,0.76,0.79,0.69,0.58,0.58,0.8,0.51,0.77,0.47,0.68,0.36,0.35,0.49,1.0,0.1,0.6
sauerbraten.csv,0.82,0.83,0.45,0.97,0.84,0.86,0.87,0.95,1.0,0.82,1.0,1.0,0.55,0.86,1.0,0.94,0.97,0.98,0.4
toped.csv,1.0,0.6,0.92,0.97,0.95,0.93,0.97,0.89,0.76,0.77,0.97,0.45,0.61,0.77,0.82,0.81,0.98,0.88,1.0
truevision.csv,0.97,0.13,0.83,0.87,0.95,0.59,0.88,0.84,0.76,0.79,0.74,0.71,0.77,0.77,0.57,0.84,1.0,0.39,0.6
zoolib.csv,0.9,0.1,0.68,0.41,0.63,0.59,0.12,0.47,0.59,0.42,0.14,0.47,0.68,0.21,0.4,0.51,1.0,0.07,0.6
