,id,max_bell,avge,median,bellwether
0,1,7,5.0,0.83,logicmail.csv
1,12,1,1.5,0.705,gpsmid.csv
2,15,4,2.15,0.57,sumatrapdf.csv
3,29,8,5.0,0.61,micomt.csv
4,50,3,1.6,0.67,gss.csv
5,56,1,1.0,0.59,columba.csv
6,60,3,3.22,0.58,ldview.csv
