,id,expected,max_bell,avge,median,bellwether,size
55,2,1,1,1.0,0.1,logicmail.csv,1
51,3,6,10,6.2,0.8049999999999999,cme.csv,10
50,4,10,16,8.75,1.0,jbpm.csv,16
57,5,7,11,4.55,0.87,servicestack.csv,11
21,6,9,15,5.93,0.89,papertoolkit.csv,15
17,7,11,13,6.22,0.865,freedom-erp.csv,18
27,8,12,19,10.58,0.925,mediaportal.csv,20
16,9,6,10,5.9,0.665,avisynth2.csv,10
24,10,6,8,4.33,0.5800000000000001,jam-daq.csv,10
56,13,4,6,2.17,0.755,empyrean.csv,6
58,14,1,2,1.5,0.54,emftriple.csv,2
18,16,9,13,6.43,0.785,cities3d.csv,14
23,17,4,7,3.0,0.95,tcvp.csv,7
14,18,5,8,4.0,0.97,snakeyaml.csv,8
25,19,6,6,1.89,0.83,guineu.csv,9
13,20,5,6,2.88,1.0,forester-atv.csv,8
28,21,4,7,3.71,0.84,mia.csv,7
59,22,11,11,7.88,0.78,apertium.csv,17
49,23,9,15,6.8,1.0,xined.csv,15
48,24,6,10,4.8,0.98,lockss.csv,10
60,25,6,6,3.11,0.88,zxing.csv,9
26,26,4,5,4.86,0.55,pclasses.csv,7
15,27,3,2,1.2,0.56,autat.csv,5
22,28,9,14,7.29,0.71,reaper-ecad.csv,14
38,30,4,6,3.5,0.53,qtwin.csv,6
33,31,6,9,3.89,0.59,foursquared.csv,9
5,32,9,15,6.4,1.0,lportal.csv,15
12,33,7,11,4.42,0.95,emulemorph.csv,13
11,34,2,2,1.75,0.545,qmmp.csv,4
6,35,1,1,1.0,0.68,maya-work-in-progress.csv,3
32,36,5,7,3.75,0.815,ftm.csv,8
39,37,4,7,3.57,0.74,jnode.csv,7
31,38,4,5,3.29,0.92,massiv.csv,7
40,39,2,2,1.33,0.39,zorannt.csv,3
53,40,6,6,3.44,0.86,xqilla.csv,9
46,41,12,15,9.26,1.0,growl-for-windows.csv,19
19,42,2,4,2.25,0.51,img-browse-sort.csv,4
30,43,10,11,6.88,0.84,illumination.csv,16
29,44,11,18,7.39,0.75,wxjs.csv,18
20,45,7,11,6.45,0.89,genoviz.csv,11
45,46,6,7,4.1,0.87,rebecca-aiml.csv,11
54,47,7,11,7.83,0.485,pixel-commandos.csv,12
47,48,9,11,6.36,0.78,jicarilla.csv,14
52,49,7,10,4.73,0.82,ktc.csv,11
8,51,7,11,6.45,0.67,piccolo2d.csv,11
41,52,9,13,6.93,0.715,wxcode.csv,14
37,53,6,8,3.0,0.55,customsagetv.csv,9
36,54,2,2,1.33,1.0,olsrd.csv,3
42,55,4,6,3.57,0.93,adaptagrams.csv,7
4,57,4,6,4.33,0.5700000000000001,encog-java.csv,6
9,58,7,8,5.0,0.89,etherboot.csv,11
1,59,2,3,1.5,0.735,columba.csv,4
0,61,11,12,5.59,1.0,rodin-b-sharp.csv,19
35,62,6,8,3.89,0.96,sidekar.csv,9
43,63,11,15,7.47,1.0,jvcl.csv,17
44,64,11,14,8.18,0.98,bulmages.csv,18
34,65,8,13,5.46,0.94,mvdsv.csv,13
2,66,9,11,6.0,0.92,fluidium.csv,14
10,67,10,11,5.81,0.9,aztec.csv,16
3,68,2,3,1.75,0.665,jrdf.csv,4
7,69,1,2,1.5,0.49,mecat.csv,2
