,id,expected,max_bell,avge,median,bellwether,size
55,2,0,1,1.0,0.86,logicmail.csv,1
51,3,2,4,2.1,0.6,botsnscouts.csv,10
50,4,3,2,1.5,0.495,lamp.csv,16
57,5,2,4,1.45,0.56,sqlpower-library.csv,11
21,6,2,5,2.14,0.56,freelords.csv,15
17,7,3,5,2.0,0.575,exist.csv,18
27,8,3,4,2.58,0.5700000000000001,hydrate.csv,20
16,9,2,1,1.2,0.525,mesa3d.csv,10
24,10,1,1,1.56,0.585,l2j.csv,10
56,13,1,2,1.17,0.5900000000000001,amanda.csv,6
58,14,0,1,1.0,0.57,emftriple.csv,2
18,16,2,8,4.07,0.665,autowikibrowser.csv,14
23,17,1,2,1.33,0.5,openxava.csv,7
14,18,1,3,1.88,0.64,chrysalis.csv,8
25,19,1,4,1.89,0.65,twostep.csv,9
13,20,1,2,1.25,0.53,cleartk.csv,8
28,21,1,2,1.14,0.64,badtrinity-zero.csv,7
59,22,3,5,2.53,0.57,fltk.csv,17
49,23,2,8,3.2,0.67,yield.csv,15
48,24,2,4,2.4,0.63,google-caja.csv,10
60,25,1,4,2.0,0.62,mobicents.csv,9
26,26,1,3,1.71,0.55,clamav.csv,7
15,27,1,3,1.6,0.67,findbugs.csv,5
22,28,2,9,4.57,0.7,grafx2.csv,14
38,30,1,5,2.17,0.7,flylinkdc.csv,6
33,31,1,4,2.33,0.62,boost-sandbox.csv,9
5,32,2,7,2.67,0.64,unflobtactical.csv,15
12,33,2,2,1.5,0.59,maidsafe-dht.csv,13
11,34,1,2,1.25,0.655,qmmp.csv,4
6,35,0,3,2.5,0.84,maya-work-in-progress.csv,3
32,36,1,2,1.5,0.62,google-gears.csv,8
39,37,1,2,1.29,0.56,mcmc-jags.csv,7
31,38,1,2,1.14,0.64,net-snmp.csv,7
40,39,0,0,0.33,0.63,ardour.csv,3
53,40,1,3,1.56,0.64,superwaba.csv,9
46,41,3,8,2.32,0.63,xtreemfs.csv,19
19,42,1,2,1.25,0.645,xstore.csv,4
30,43,3,3,1.88,0.575,nativeclient.csv,16
29,44,3,4,2.72,0.605,boost.csv,18
20,45,2,6,2.18,0.66,ossbuild.csv,11
45,46,2,6,3.2,0.7,olap-navigator.csv,11
54,47,2,5,2.58,0.635,rsyslog.csv,12
47,48,2,8,2.43,0.67,jmule.csv,14
52,49,2,6,2.82,0.66,gstreamer.csv,11
8,51,2,6,2.0,0.66,jstock.csv,11
41,52,2,2,2.0,0.6,gss.csv,14
37,53,1,4,1.89,0.63,alleg.csv,9
36,54,0,1,1.0,0.62,silvertree.csv,3
42,55,1,2,0.71,0.54,go.csv,7
4,57,1,3,1.33,0.625,h2database.csv,6
9,58,2,3,1.55,0.6,libtorrent.csv,11
1,59,1,3,1.75,0.665,columba.csv,4
0,61,3,5,2.59,0.57,openwbem.csv,19
35,62,1,2,1.89,0.61,jgnash.csv,9
43,63,3,3,2.18,0.57,smartgwt.csv,17
44,64,3,3,1.59,0.53,bullet.csv,18
34,65,2,2,1.54,0.57,olex2.csv,13
2,66,2,1,1.5,0.545,gnome-jabber.csv,14
10,67,3,3,1.75,0.535,oscarmcmaster.csv,16
3,68,1,0,0.5,0.5549999999999999,mpqc.csv,4
7,69,0,1,1.0,0.605,ambulant.csv,2
