,f1,g,recall,precision,pf,cdom,bellwether
1,1.0,0.625,0.42,0.43,0.45,8.0,logicmail.csv
12,0.66,0.635,0.585,0.56,0.605,1.0,gpsmid.csv
15,0.73,0.41,0.41,0.43,0.44,12.0,twostep.csv
29,0.515,0.5,0.47,0.48,0.51,19.0,ktc.csv
50,0.48,0.57,0.48,0.49,0.47,4.0,irplus.csv
56,0.33,0.76,0.53,0.585,0.53,2.0,h2database.csv
60,0.49,0.44,0.36,0.44,0.47,8.0,loki-lib.csv
11,0.82,0.46499999999999997,0.25,0.4,0.55,0.0,atunes.csv
