,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.12,0.0,0.09,0.99,0.07,0.01,0.0,0.27,0.07,0.0
coot.csv,0.37,0.25,0.6,0.0,0.44,0.54,0.35,0.52,0.0,0.72
haggle.csv,0.12,0.62,0.62,0.0,0.4,0.1,0.0,0.51,0.54,0.48
ibatisdb.csv,0.18,0.55,0.22,0.0,0.83,0.31,0.0,0.23,0.58,0.56
jas.csv,0.23,0.47,0.43,0.69,0.13,0.61,0.96,0.69,0.56,0.4
mesa3d.csv,0.54,0.58,0.57,0.91,0.5,0.68,0.14,0.27,0.6,0.54
ngl.csv,0.61,0.56,0.4,0.86,0.4,0.62,0.63,0.13,0.24,0.62
pustefix.csv,0.12,0.51,0.43,0.36,0.13,0.47,0.3,0.43,0.57,0.61
scenemonitor.csv,0.77,0.39,0.27,0.0,0.17,0.34,0.0,0.33,0.16,0.14
wsmt.csv,0.64,0.16,0.06,0.0,0.2,0.2,0.5,0.8,0.01,0.1
