,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.96,1.0,0.3,0.87,1.0,0.67,0.65,0.0,0.98,1.0,0.96
cubefs.csv,0.23,1.0,1.0,0.59,0.87,0.59,0.65,0.41,0.25,0.27,1.0
iaml.csv,0.2,0.05,0.39,0.19,0.24,0.31,0.29,0.09,0.37,0.67,0.1
ivataopenportal.csv,0.73,1.0,0.79,0.9,0.86,0.31,0.88,1.0,0.69,0.87,1.0
mb-unit.csv,0.92,0.2,0.64,0.4,0.98,0.92,0.7,0.09,0.69,0.73,0.45
mvdsv.csv,0.02,0.32,0.0,0.07,0.03,0.01,0.08,0.06,0.07,0.0,0.01
nova.csv,0.79,0.2,0.79,0.65,0.54,0.87,0.35,0.88,0.66,0.27,0.62
olex2.csv,0.59,0.43,0.37,0.37,0.3,0.93,0.4,0.29,0.2,0.27,0.27
openwbem.csv,0.26,0.07,0.21,0.44,0.38,0.79,0.14,0.71,0.46,0.27,0.46
xcmetadataservicestoolkit.csv,0.23,0.64,0.97,0.33,0.41,0.78,0.63,0.06,0.64,0.27,0.86
