,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.35,0.23,0.33,0.84,0.09,0.52,0.55,1.0,0.02,0.68,0.47
cubefs.csv,0.37,0.23,0.17,0.87,0.04,0.55,0.58,0.78,0.0,0.85,0.46
iaml.csv,0.33,0.0,0.19,0.82,0.21,0.56,0.76,0.73,0.0,0.68,0.3
ivataopenportal.csv,0.4,0.23,0.19,0.86,0.1,0.72,0.53,0.69,0.0,0.73,0.46
mb-unit.csv,0.35,0.25,0.16,0.91,0.09,0.52,0.57,0.91,0.02,0.76,0.55
mvdsv.csv,0.5,0.22,0.0,0.85,0.75,0.5,0.53,0.75,0.0,1.0,0.83
nova.csv,0.35,0.53,0.19,0.84,0.0,0.49,0.67,0.68,0.02,0.83,0.49
olex2.csv,0.39,0.27,0.24,0.9,0.17,0.51,0.64,0.76,0.0,0.83,0.69
openwbem.csv,0.55,0.5,0.3,0.87,0.14,0.49,0.71,0.71,0.04,0.84,0.54
xcmetadataservicestoolkit.csv,0.35,0.2,0.16,0.89,0.0,0.51,0.63,0.89,0.03,0.89,0.46
