,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.17,0.0,0.71,0.39,0.0,0.56,0.52,0.1,0.09,0.0,0.17
cubefs.csv,0.29,0.0,0.0,0.6,0.25,0.6,0.57,0.64,0.0,0.6,0.0
iaml.csv,0.2,0.0,0.46,0.18,0.69,0.42,0.69,0.12,0.0,0.47,0.06
ivataopenportal.csv,0.6,0.0,0.54,0.35,0.45,0.74,0.37,0.0,0.0,0.41,0.0
mb-unit.csv,0.29,0.27,0.51,0.65,0.09,0.3,0.55,0.47,0.69,0.61,0.63
mvdsv.csv,0.05,0.35,0.0,0.09,0.99,0.01,0.07,0.1,0.0,0.22,0.1
nova.csv,0.5,0.78,0.53,0.52,0.0,0.39,0.55,0.38,0.72,0.52,0.6
olex2.csv,0.59,0.55,0.58,0.61,0.68,0.27,0.55,0.46,0.0,0.53,0.71
openwbem.csv,0.61,0.27,0.47,0.53,0.66,0.49,0.3,0.58,0.85,0.55,0.61
xcmetadataservicestoolkit.csv,0.26,0.49,0.13,0.48,0.0,0.52,0.65,0.25,0.74,0.77,0.42
