,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,glas.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.96,0.63,0.75,0.85,0.79,0.05,1.14,0.84,0.96,0.64,0.66,0.81,0.82,0.84,0.75,1.0,0.88
codepurge.csv,0.63,0.52,0.86,0.72,0.81,0.76,0.12,0.56,0.68,0.66,0.78,0.68,0.89,0.08,0.74,0.7,0.89
fontforge.csv,0.69,0.69,0.68,0.65,0.69,0.81,0.27,0.0,0.5,0.61,0.63,0.92,0.72,0.73,0.65,0.81,0.74
glas.csv,0.67,0.65,0.74,0.74,0.71,0.71,0.17,0.66,0.53,0.67,0.6,0.55,0.06,0.71,0.78,0.85,0.71
gmerlin.csv,0.9,0.65,0.83,0.67,0.95,0.7,0.17,0.54,0.73,0.74,0.68,0.59,0.91,0.92,0.78,0.06,0.96
hatari.csv,0.79,0.51,0.1,0.74,0.59,0.75,0.33,0.75,0.66,0.77,0.54,0.57,0.9,0.73,0.83,0.76,0.93
jcl.csv,0.9,0.62,1.0,0.84,1.0,0.95,1.01,0.96,0.91,0.8,0.94,0.74,1.0,0.92,0.21,0.88,0.88
ltp.csv,0.66,0.7,0.71,0.57,0.03,0.67,1.06,0.74,0.92,0.76,0.71,0.95,0.88,0.63,0.91,0.86,0.75
mia.csv,0.9,0.68,0.84,0.73,0.97,0.87,0.21,0.66,0.67,0.88,0.79,0.11,1.0,0.75,0.74,1.0,0.99
net-snmp.csv,0.02,0.54,0.91,0.77,0.76,0.62,0.33,0.71,0.6,0.72,0.55,0.43,0.62,0.63,0.54,0.54,0.82
opde.csv,0.98,0.66,0.68,0.09,0.95,0.75,1.05,0.75,0.67,0.74,0.7,0.8,0.82,0.74,0.72,0.57,0.78
oppna-program-hsatools.csv,0.66,0.68,0.69,0.76,0.85,0.59,0.94,0.99,0.9,1.0,0.01,1.0,0.8,0.52,0.95,0.7,0.83
powerfolder-.csv,0.93,0.06,0.83,0.96,0.77,0.85,0.06,0.58,0.8,0.85,0.87,0.67,0.97,0.92,0.65,0.88,0.92
qlc.csv,1.0,0.73,1.0,0.88,1.0,0.8,1.0,1.0,0.0,0.88,0.97,0.84,0.86,0.83,0.65,1.0,0.88
quantlib.csv,0.93,0.66,0.8,0.82,0.98,0.78,0.27,0.7,0.59,0.77,0.9,0.43,0.84,0.69,0.77,0.79,0.08
tcl.csv,0.82,0.78,0.92,0.82,0.9,0.86,0.1,0.76,1.02,0.08,0.8,0.77,0.92,0.96,0.7,0.88,0.88
