,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,glas.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.1,0.24,0.31,0.13,0.37,0.02,0.54,0.13,0.17,0.55,0.09,0.24,0.24,0.39,0.22,0.08,0.12
codepurge.csv,0.29,0.47,0.25,0.24,0.52,0.16,0.12,0.45,0.14,0.25,0.13,0.29,0.04,0.0,0.18,0.32,0.18
fontforge.csv,0.51,0.65,0.47,0.33,0.59,0.72,0.27,0.0,0.37,0.45,0.48,0.49,0.44,0.62,0.59,0.42,0.46
glas.csv,0.33,0.58,0.17,0.29,0.54,0.4,0.17,0.61,0.42,0.52,0.3,0.39,0.02,0.24,0.6,0.55,0.34
gmerlin.csv,0.18,0.22,0.06,0.2,0.14,0.25,0.17,0.29,0.3,0.45,0.13,0.31,0.2,0.1,0.75,0.0,0.27
hatari.csv,0.35,0.15,0.0,0.71,0.31,0.3,0.33,0.26,0.43,0.75,0.22,0.53,0.15,0.17,0.42,0.09,0.17
jcl.csv,0.06,0.11,0.0,0.27,0.03,0.02,0.13,0.1,0.21,0.48,0.0,0.17,0.0,0.11,0.0,0.08,0.07
ltp.csv,0.31,0.47,0.44,0.24,0.02,0.39,0.35,0.55,0.23,0.18,0.13,0.33,0.18,0.23,0.29,0.36,0.23
mia.csv,0.9,0.03,0.36,0.27,0.97,0.09,0.21,0.55,0.45,0.88,0.22,0.0,0.0,0.06,0.69,1.0,0.23
net-snmp.csv,0.0,0.43,0.17,0.42,0.34,0.34,0.33,0.68,0.33,0.32,0.35,0.33,0.16,0.11,0.4,0.35,0.34
opde.csv,0.98,0.61,0.64,0.04,0.94,0.65,0.31,0.74,0.55,0.25,0.57,0.58,0.09,0.39,0.32,0.36,0.34
oppna-program-hsatools.csv,0.65,0.65,0.67,0.69,0.85,0.47,0.94,0.97,0.9,1.0,0.0,0.99,0.25,0.25,0.95,0.61,0.81
powerfolder-.csv,0.04,0.0,0.0,0.09,0.14,0.19,0.06,0.29,0.17,0.3,0.17,0.1,0.04,0.06,0.42,0.09,0.06
qlc.csv,0.0,0.27,0.0,0.27,0.0,0.26,0.02,0.0,0.0,0.15,0.0,0.12,0.36,0.03,0.09,0.0,0.02
quantlib.csv,0.12,0.24,0.06,0.31,0.1,0.71,0.27,0.39,0.2,0.08,0.83,0.17,0.31,0.16,0.75,0.12,0.0
tcl.csv,0.18,0.24,0.19,0.4,0.21,0.14,0.1,0.48,0.2,0.02,0.04,0.28,0.07,0.04,0.27,0.05,0.13
