,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv,fulguro.csv
codepurge.csv,0.06,0.0,0.09,0.14,0.38,0.07,0.0,0.07,0.01,0.29,0.28,0.15,0.4
ctrlr.csv,0.04,0.0,0.0,0.12,0.06,0.0,0.43,0.13,0.51,0.05,0.07,0.35,0.11
dvt.csv,0.57,0.3,0.27,0.53,0.38,0.0,0.67,0.13,0.84,0.57,0.54,0.19,0.44
flylinkdc.csv,0.48,0.5,0.09,0.52,0.33,0.37,0.44,0.6,0.0,0.47,0.4,0.45,0.62
free-evolution.csv,0.55,0.6,0.57,0.22,0.12,0.29,0.12,0.0,0.82,0.0,0.21,0.55,0.0
fulguro.csv,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.49,0.0,0.48,0.53,0.0,0.0
fw4spl.csv,0.06,0.01,0.01,0.0,0.0,0.1,0.06,0.32,0.01,0.29,0.04,0.04,0.0
ipfire-wall.csv,0.4,0.43,0.24,0.17,0.0,0.2,0.06,0.83,0.0,0.05,0.11,0.26,0.31
ldview.csv,0.05,0.52,0.42,0.05,0.56,0.54,0.06,0.42,0.0,0.42,0.59,0.63,0.63
nuttx.csv,0.47,0.09,0.3,0.27,0.3,0.27,0.56,0.28,0.0,0.13,0.21,0.0,0.0
uclmda.csv,0.42,0.16,0.36,0.17,0.36,0.44,0.33,0.25,0.99,0.48,0.4,0.53,0.21
vdsf.csv,0.23,0.0,0.01,0.12,0.28,0.0,0.22,0.38,0.0,0.0,0.11,0.0,0.21
xcf.csv,0.63,0.63,0.48,0.53,0.63,0.44,0.62,0.61,0.0,0.36,0.31,0.81,0.6
