,kwave.csv,atlc.csv,theresa.csv,thrust.csv,yaprm.csv,tktoolkit.csv,iaml.csv,cubefs.csv,rtrt-on-gpu.csv,bwapi.csv,xstore.csv,freewrl.csv,jrdf.csv,oscarmcmaster.csv,arm-webradio.csv
arm-webradio.csv,0.16,0.55,0.26,0.02,0.58,0.08,0.21,0.47,0.21,0.97,0.51,0.08,0.0,0.35,0.16
atlc.csv,0.36,0.17,0.78,0.89,0.61,0.72,0.6,0.53,0.27,0.22,0.68,0.54,0.95,0.62,0.81
bwapi.csv,0.98,0.9,1.0,1.0,0.97,0.99,1.0,0.79,0.98,0.22,0.85,1.0,1.0,0.81,0.9
cubefs.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.66,0.35,1.0,0.25,0.29,0.08,0.03,0.62,1.0
freewrl.csv,0.73,0.93,0.8,0.23,0.71,0.78,0.7,0.47,0.6,1.0,0.85,0.38,0.69,0.69,0.96
iaml.csv,0.16,0.21,0.04,0.0,0.21,0.48,0.28,0.09,0.08,0.0,0.2,0.38,0.37,0.61,0.07
jrdf.csv,0.18,0.97,0.14,0.34,0.39,0.79,0.63,0.12,0.58,0.0,0.17,0.04,0.17,0.43,0.19
kwave.csv,0.2,1.0,0.78,0.09,0.74,1.0,0.65,0.03,0.98,0.44,0.66,0.0,0.61,0.87,1.0
oscarmcmaster.csv,0.21,0.83,0.54,0.06,0.79,0.38,0.3,0.0,0.08,0.5,0.66,0.0,0.47,0.34,0.99
rtrt-on-gpu.csv,0.5,0.86,0.34,0.64,0.55,0.79,0.5,0.09,0.19,0.5,0.37,0.29,0.19,0.56,0.59
theresa.csv,0.21,0.14,0.24,0.02,0.42,0.35,0.3,0.15,0.21,0.19,0.12,0.29,0.19,0.31,0.11
thrust.csv,0.46,0.52,0.04,0.32,0.32,0.28,0.33,0.65,0.08,0.25,0.54,0.42,0.61,0.3,0.62
tktoolkit.csv,0.59,0.24,0.64,0.49,0.61,0.15,0.33,0.82,0.9,0.81,0.63,0.04,0.34,0.74,0.96
xstore.csv,0.16,1.0,0.36,0.02,0.24,0.93,0.38,0.18,0.38,0.47,0.22,0.0,0.27,0.46,0.71
yaprm.csv,0.34,0.0,0.22,0.34,0.34,0.22,0.37,0.79,0.21,0.08,0.05,1.0,0.85,0.54,0.12
