,kwave.csv,atlc.csv,theresa.csv,thrust.csv,yaprm.csv,tktoolkit.csv,iaml.csv,cubefs.csv,rtrt-on-gpu.csv,bwapi.csv,xstore.csv,freewrl.csv,jrdf.csv,oscarmcmaster.csv,arm-webradio.csv
arm-webradio.csv,0.25,0.46,0.33,0.06,0.43,0.0,0.39,0.62,0.3,0.83,0.78,0.07,0.0,0.53,0.97
atlc.csv,0.62,0.85,0.67,1.0,0.46,0.57,0.89,0.3,0.7,0.28,0.59,0.81,0.93,0.68,0.57
bwapi.csv,1.0,0.98,1.0,1.0,1.0,1.0,0.99,0.83,1.0,0.78,0.74,1.0,1.0,0.83,0.57
cubefs.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.69,0.73,1.0,0.08,0.54,0.11,0.2,0.72,1.0
freewrl.csv,0.62,0.98,1.0,0.35,0.78,0.7,0.81,0.49,0.9,0.98,0.91,0.78,0.6,0.83,1.0
iaml.csv,0.06,0.54,0.0,0.0,0.27,0.43,0.66,0.09,0.2,0.13,0.37,0.44,0.4,0.51,0.06
jrdf.csv,0.25,0.68,0.0,0.24,0.54,0.96,0.56,0.34,0.6,0.02,0.07,0.04,0.73,0.36,0.03
kwave.csv,0.5,1.0,1.0,0.0,0.68,1.0,0.74,0.09,0.7,0.32,0.83,0.07,0.67,0.94,1.0
oscarmcmaster.csv,0.31,0.85,0.67,0.18,0.7,0.57,0.35,0.17,0.2,0.53,0.67,0.0,0.67,0.57,1.0
rtrt-on-gpu.csv,0.25,0.68,0.33,0.71,0.76,0.74,0.59,0.05,0.7,0.77,0.26,0.33,0.47,0.45,0.31
theresa.csv,0.31,0.27,1.0,0.0,0.57,0.39,0.23,0.27,0.5,0.1,0.43,0.33,0.47,0.4,0.46
thrust.csv,0.31,0.46,0.0,0.65,0.27,0.35,0.51,0.65,0.2,0.61,0.43,0.37,0.4,0.34,0.31
tktoolkit.csv,0.75,0.46,0.67,0.59,0.57,0.52,0.27,0.84,0.9,0.74,0.74,0.0,0.47,0.83,1.0
xstore.csv,0.31,1.0,1.0,0.0,0.22,0.87,0.28,0.29,0.2,0.15,0.67,0.0,0.2,0.62,1.0
yaprm.csv,0.38,0.0,0.67,0.29,0.68,0.39,0.56,0.57,0.2,0.07,0.22,1.0,0.67,0.45,0.0
