,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.39,0.55,0.35,0.95,0.79,0.36,0.76,0.57,0.41,0.13,0.45,0.38,0.32,0.28,0.49,0.17,0.43,0.36
betoffice.csv,0.2,0.67,0.34,0.23,0.6,0.12,0.23,0.97,0.15,0.73,0.33,0.44,0.29,0.33,0.38,0.26,0.28,0.41
bionote.csv,0.36,0.0,0.3,0.0,0.31,0.07,0.0,0.04,0.51,0.02,0.0,0.1,0.94,0.15,0.18,0.14,0.15,0.0
bnetd.csv,0.79,0.9,0.44,0.58,0.84,0.47,0.32,0.66,0.48,0.59,0.96,0.94,0.31,0.77,0.47,0.19,0.52,0.77
elvishrayrenderer.csv,0.76,0.78,0.31,0.47,0.82,0.51,0.64,0.59,0.42,0.82,0.63,0.84,0.27,0.71,0.48,0.15,0.55,0.99
emisview.csv,0.59,0.44,0.23,0.37,0.53,0.98,0.48,0.57,0.21,0.06,0.0,0.38,0.34,0.62,0.3,0.22,0.38,0.39
findbugs.csv,0.44,0.85,0.2,0.29,0.49,0.38,0.29,0.4,0.41,0.38,0.58,0.3,0.35,0.29,0.96,0.05,0.24,0.68
hazelcast.csv,0.86,0.78,0.47,0.55,1.0,0.48,0.7,0.62,0.42,0.73,0.68,0.92,0.24,0.74,0.47,0.2,0.53,0.71
jitterbit.csv,0.56,0.8,0.27,0.45,0.61,0.5,0.17,0.29,0.95,0.51,0.49,0.26,0.31,0.6,0.59,0.02,0.51,0.6
jppf-project.csv,0.79,0.9,0.34,0.46,0.82,0.42,0.7,0.66,0.27,0.96,0.69,0.99,0.21,0.65,0.51,0.25,0.47,0.79
kolmafia.csv,0.82,0.85,0.43,0.54,0.85,0.51,0.41,0.6,0.45,0.69,0.67,0.73,0.26,0.98,0.48,0.17,0.46,0.74
megasquirtavr.csv,0.88,0.9,0.86,0.49,0.92,0.46,0.78,0.67,0.44,0.96,0.69,0.96,0.24,0.71,0.55,0.16,0.47,0.79
qedo.csv,0.13,0.1,0.33,0.23,0.14,0.13,0.09,0.12,0.04,0.37,0.32,0.16,0.0,0.12,0.16,0.95,0.05,0.23
stajistics.csv,0.69,0.65,0.24,0.42,0.62,0.45,0.2,0.18,0.43,0.37,0.48,0.66,0.2,0.42,0.41,0.16,0.98,0.68
trackit.csv,0.68,0.49,0.15,0.42,0.64,0.34,0.95,0.28,0.24,0.71,0.4,0.73,0.07,0.58,0.58,0.04,0.31,0.53
wxlua.csv,0.69,0.89,0.33,0.41,0.85,0.21,0.72,0.65,0.36,0.99,0.63,0.6,0.16,0.43,0.39,0.09,0.42,0.64
x4x.csv,1.0,0.82,0.26,0.28,0.77,0.0,0.63,0.47,0.3,0.14,0.6,0.86,0.22,0.44,0.33,0.05,0.46,0.39
xharbour.csv,0.81,0.99,0.39,0.42,0.88,0.47,0.76,0.64,0.43,0.8,0.67,0.85,0.22,0.71,0.57,0.12,0.46,0.73
