,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.79,0.94,0.22,1.0,0.82,0.44,0.67,0.46,0.39,1.0,0.61,0.88,0.24,0.53,0.41,0.1,0.28,0.8
betoffice.csv,0.71,0.84,0.56,0.2,0.96,0.2,0.5,1.0,0.15,0.93,0.56,0.84,0.2,0.46,0.33,0.17,0.26,0.55
bionote.csv,0.77,0.0,0.38,0.0,0.73,0.25,0.0,1.0,0.7,1.0,0.0,1.0,0.89,0.67,0.5,0.15,0.33,0.0
bnetd.csv,0.79,0.82,0.31,0.44,0.95,0.32,0.56,0.5,0.35,0.93,1.0,0.93,0.19,0.65,0.34,0.11,0.41,0.71
elvishrayrenderer.csv,0.81,0.87,0.25,0.38,0.91,0.37,0.71,0.51,0.3,0.93,0.57,0.92,0.16,0.58,0.38,0.08,0.42,1.0
emisview.csv,0.86,0.87,0.21,0.38,0.84,1.0,0.64,0.62,0.34,0.6,0.0,0.96,0.22,0.58,0.31,0.16,0.33,0.75
findbugs.csv,0.67,0.88,0.13,0.3,0.77,0.42,0.88,0.44,0.45,0.91,0.53,1.0,0.23,0.56,0.96,0.03,0.21,0.71
hazelcast.csv,0.8,0.87,0.39,0.39,1.0,0.32,0.64,0.51,0.27,0.95,0.61,0.91,0.14,0.61,0.34,0.11,0.36,0.69
jitterbit.csv,0.69,0.92,0.17,0.5,0.93,0.42,0.57,0.5,0.98,0.86,0.62,1.0,0.21,0.69,0.65,0.01,0.45,0.69
jppf-project.csv,0.77,0.82,0.33,0.31,0.89,0.28,0.64,0.5,0.18,0.92,0.53,0.99,0.12,0.6,0.37,0.15,0.36,0.65
kolmafia.csv,0.89,0.81,0.75,0.38,1.0,0.38,0.59,0.49,0.47,0.89,0.64,1.0,0.16,1.0,0.37,0.1,0.38,0.72
megasquirtavr.csv,0.78,0.82,1.0,0.32,0.85,0.3,0.64,0.5,0.28,0.92,0.53,0.92,0.13,0.55,0.38,0.08,0.3,0.65
qedo.csv,0.75,0.28,1.0,0.31,1.0,0.29,0.4,0.5,0.1,0.95,0.42,0.89,0.0,0.24,0.3,1.0,0.08,0.5
stajistics.csv,0.92,0.92,0.18,0.32,0.96,0.32,0.5,0.5,0.38,0.95,0.59,0.88,0.14,0.55,0.34,0.1,1.0,0.75
trackit.csv,0.76,0.74,0.33,0.34,0.9,0.3,1.0,0.38,0.18,0.96,0.37,0.92,0.05,0.59,0.55,0.02,0.24,0.74
wxlua.csv,0.72,0.83,0.2,0.28,0.83,0.25,0.64,0.53,0.27,0.98,0.5,0.93,0.1,0.43,0.32,0.05,0.29,0.63
x4x.csv,1.0,0.82,0.18,0.36,0.8,0.0,0.63,0.49,0.22,0.78,0.56,0.91,0.13,0.57,0.35,0.03,0.32,0.75
xharbour.csv,0.76,0.99,0.25,0.29,0.84,0.31,0.64,0.51,0.28,0.89,0.51,0.92,0.13,0.57,0.41,0.07,0.3,0.64
