,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.98,0.34,0.94,0.51,0.8,0.25,0.11,0.52,0.08,0.57,0.5
ivef-sdk.csv,0.61,0.34,1.0,0.52,0.74,0.12,0.11,0.33,0.12,0.61,0.33
jaolt.csv,0.6,0.27,0.68,0.48,0.96,0.41,0.37,0.25,0.08,0.58,0.54
jmule.csv,0.59,0.28,0.64,0.45,0.78,0.41,0.41,0.47,0.03,0.59,1.0
jstock.csv,0.5,0.17,1.0,0.5,0.86,0.44,1.0,0.0,0.0,0.57,0.83
lphant.csv,0.65,0.34,0.69,0.5,0.77,1.0,0.21,0.32,0.09,0.64,0.53
novembre.csv,0.6,1.0,1.0,0.38,0.9,1.0,0.21,0.4,0.02,0.58,0.67
oorexx.csv,0.64,0.35,0.45,0.49,0.75,0.43,0.32,0.52,0.13,1.0,0.51
pi-qmc.csv,0.78,0.29,0.58,0.5,0.81,0.52,0.33,1.0,0.02,0.5,0.56
qedo.csv,0.53,0.0,1.0,0.33,0.29,0.0,0.17,0.13,1.0,0.53,0.25
yaprm.csv,0.7,0.28,0.67,1.0,0.64,0.0,0.25,0.32,0.18,0.76,0.55
