,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.96,0.47,0.36,0.62,0.41,0.13,0.09,0.57,0.12,0.52,0.37
ivef-sdk.csv,0.68,0.47,1.0,0.66,0.5,0.07,0.15,0.48,0.2,0.71,0.26
jaolt.csv,0.73,0.4,0.76,0.62,0.97,0.55,0.5,0.38,0.14,0.7,0.64
jmule.csv,0.61,0.41,0.31,0.5,0.66,0.56,0.47,0.59,0.06,0.56,1.0
jstock.csv,0.16,0.1,0.09,0.14,0.4,0.52,1.0,0.0,0.0,0.19,0.33
lphant.csv,0.67,0.45,0.61,0.6,0.77,0.98,0.3,0.38,0.16,0.61,0.62
novembre.csv,0.23,0.97,0.06,0.13,0.51,0.24,0.22,0.15,0.03,0.29,0.27
oorexx.csv,0.64,0.5,0.21,0.54,0.74,0.56,0.48,0.55,0.22,0.99,0.62
pi-qmc.csv,0.27,0.36,0.18,0.35,0.5,0.57,0.27,1.0,0.03,0.33,0.45
qedo.csv,0.3,0.0,0.62,0.05,0.05,0.0,0.11,0.16,1.0,0.34,0.07
yaprm.csv,0.48,0.35,0.62,0.99,0.4,0.0,0.24,0.42,0.27,0.56,0.34
