,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.03,0.52,0.03,0.74,0.17,0.18,0.19,0.23,0.28,0.52,0.24
ivef-sdk.csv,0.66,0.52,0.0,0.79,0.34,0.21,0.56,0.7,0.54,0.8,0.34
jaolt.csv,0.84,0.82,0.9,0.92,0.1,0.79,0.4,0.96,0.5,0.88,0.55
jmule.csv,0.59,0.7,0.27,0.68,0.41,0.82,0.23,0.34,0.47,0.52,0.0
jstock.csv,0.12,0.12,0.0,0.08,0.1,0.55,0.0,0.05,0.13,0.12,0.03
lphant.csv,0.5,0.48,0.53,0.74,0.59,0.0,0.63,0.38,0.57,0.48,0.55
novembre.csv,0.12,0.0,0.0,0.13,0.1,0.0,0.26,0.05,0.22,0.2,0.07
oorexx.csv,0.5,0.6,0.37,0.61,0.62,0.73,0.58,0.21,0.35,0.0,0.62
pi-qmc.csv,0.06,0.42,0.17,0.26,0.21,0.39,0.14,0.0,0.2,0.36,0.24
qedo.csv,0.25,0.12,0.0,0.05,0.17,0.09,0.12,0.61,0.0,0.32,0.1
yaprm.csv,0.22,0.45,0.63,0.0,0.41,0.03,0.21,0.54,0.25,0.2,0.17
