,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.06,0.59,0.78,0.77,0.75,0.93,0.94,0.43,0.78,0.74,0.75
ivef-sdk.csv,0.7,0.59,0.0,0.8,0.71,0.98,0.95,0.71,0.59,0.81,0.86
jaolt.csv,0.85,0.85,0.91,0.93,0.1,0.81,0.46,0.98,0.71,0.89,0.59
jmule.csv,0.7,0.75,0.83,0.81,0.59,0.83,0.52,0.41,0.94,0.7,0.0
jstock.csv,0.92,0.94,0.96,0.92,0.75,0.66,0.0,1.0,1.01,0.9,0.79
lphant.csv,0.58,0.58,0.71,0.78,0.63,0.05,0.78,0.66,0.68,0.64,0.61
novembre.csv,0.87,0.07,0.97,0.93,0.65,0.86,0.81,0.91,0.98,0.83,0.84
oorexx.csv,0.61,0.61,0.94,0.73,0.68,0.75,0.59,0.46,0.54,0.03,0.65
pi-qmc.csv,0.84,0.68,0.91,0.78,0.68,0.54,0.78,0.0,0.97,0.83,0.67
qedo.csv,0.83,1.01,0.55,0.97,0.99,1.0,0.93,0.98,0.0,0.82,0.96
yaprm.csv,0.66,0.7,0.76,0.03,0.82,1.0,0.8,0.65,0.48,0.59,0.77
